| People and Society | Israel |
| --- | --- |
| Nationality: | noun: Israeli(s) |
| Nationality: | adjective: Israeli |
| Ethnic groups: | Jewish 75.1% (of which Israel-born 73.6%, Europe/America/Oceania-born 17.9%, Africa-born 5.2%, Asia-born 3.2%), non-Jewish 24.9% (mostly Arab) (2012 est.) |
| Languages: | Hebrew (official), Arabic (used officially for Arab minority), English (most commonly used foreign language) |
| Religions: | Jewish 75.1%, Muslim 17.4%, Christian 2%, Druze 1.6%, other 3.9% (2012 est.) |
| Population: | 7,821,850 |
| Population: | note: approximately 341,400 Israeli settlers live in the West Bank (2012); approximately 18,900 Israeli settlers live in the Golan Heights (2012); approximately 196,400 Israeli settlers live in East Jerusalem (2011) (July 2014 est.) |
| Age structure: | 0-14 years: 27.1% (male 1,084,748/female 1,035,525) |
| Age structure: | 15-24 years: 15.7% (male 628,205/female 599,871) |
| Age structure: | 25-54 years: 37.8% (male 1,508,860/female 1,443,898) |
| Age structure: | 55-64 years: 8.8% (male 333,453/female 352,302) |
| Age structure: | 65 years and over: 10.5% (male 368,318/female 466,670) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 63.1 % |
| population pyramid: | youth dependency ratio: 45.5 % |
| population pyramid: | elderly dependency ratio: 17.6 % |
| population pyramid: | potential support ratio: 5.7 (2014 est.) |
| Median age: | total: 29.9 years |
| Median age: | male: 29.2 years |
| Median age: | female: 30.6 years (2014 est.) |
| Population growth rate: | 1.46% (2014 est.) |
| Birth rate: | 18.44 births/1,000 population (2014 est.) |
| Death rate: | 5.54 deaths/1,000 population (2014 est.) |
| Net migration rate: | 1.68 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 91.9% of total population (2011) |
| Urbanization: | rate of urbanization: 1.73% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Tel Aviv-Yafo 3.381 million; Haifa 1.054 million; JERUSALEM (capital) 791,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 27.3 (2011 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.98 deaths/1,000 live births |
| Infant mortality rate: | male: 4.16 deaths/1,000 live births |
| Infant mortality rate: | female: 3.8 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 81.28 years |
| Life expectancy at birth: | male: 79.05 years |
| Life expectancy at birth: | female: 83.61 years (2014 est.) |
| Total fertility rate: | 2.62 children born/woman (2014 est.) |
| Health expenditures: | 7.7% of GDP (2011) |
| Physicians density: | 3.11 physicians/1,000 population (2011) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,500 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 26.2% (2008) |
| Education expenditures: | 5.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.1% |
| Literacy: | male: 98.5% |
| Literacy: | female: 95.9% (2004 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2009) |
| Unemployment, youth ages 15-24: | total: 12.1% |
| Unemployment, youth ages 15-24: | male: 11.6% |
| Unemployment, youth ages 15-24: | female: 12.7% (2012) |
