| People and Society | ISRAEL |
| --- | --- |
| Population: | 8,299,706 (includes populations of the Golan Heights of Golan Sub-District and also East Jerusalem, which was annexed by Israel after 1967) (July 2016 est.) |
| Population: | note: approximately 22,000 Israeli settlers live in the Golan Heights (2016); approximately 201,000 Israeli settlers live in East Jerusalem (2014) (July 2017 est.) |
| Nationality: | noun: Israeli(s) |
| Nationality: | adjective: Israeli |
| Ethnic groups: | Jewish 74.8% (of which Israel-born 75.6%, Europe/America/Oceania-born 16.6%, Africa-born 4.9%, Asia-born 2.9%), non-Jewish 25.2% (mostly Arab) (2015 est.) |
| Languages: | Hebrew (official), Arabic (used officially for Arab minority), English (most commonly used foreign language) |
| Religions: | Jewish 74.8%, Muslim 17.6%, Christian 2%, Druze 1.6%, other 4% (2015 est.) |
| Age structure: | 0-14 years: 27.51% (male 1,168,351/female 1,114,902) |
| Age structure: | 15-24 years: 15.53% (male 658,572/female 630,675) |
| Age structure: | 25-54 years: 37.17% (male 1,577,187/female 1,507,793) |
| Age structure: | 55-64 years: 8.46% (male 344,922/female 357,301) |
| Age structure: | 65 years and over: 11.33% (male 421,660/female 518,343) (2017 est.) |
| Dependency ratios: | total dependency ratio: 64.2 |
| Dependency ratios: | youth dependency ratio: 45.7 |
| Dependency ratios: | elderly dependency ratio: 18.4 |
| Dependency ratios: | potential support ratio: 5.4 (2015 est.) |
| Median age: | total: 29.9 years |
| Median age: | male: 29.3 years |
| Median age: | female: 30.6 years (2017 est.) |
| Population growth rate: | 1.51% (2017 est.) |
| Birth rate: | 18.1 births/1,000 population (2017 est.) |
| Death rate: | 5.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated in and around Tel-Aviv, as well as around the Sea of Galilee; the south remains sparsely populated with the exception of the shore of the Gulf of Aqaba |
| Urbanization: | urban population: 92.3% of total population (2017) |
| Urbanization: | rate of urbanization: 1.5% annual rate of change (2015-20 est.) |
| Major urban areas - population: | Tel Aviv-Yafo 3.608 million; Haifa 1.097 million; JERUSALEM (proclaimed capital) 839,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.6 years (2015 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births |
| Infant mortality rate: | male: 3.4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 82.5 years |
| Life expectancy at birth: | male: 80.7 years |
| Life expectancy at birth: | female: 84.5 years (2017 est.) |
| Total fertility rate: | 2.64 children born/woman (2017 est.) |
| Health expenditures: | 7.8% of GDP (2014) |
| Physicians density: | 3.62 physicians/1,000 population (2014) |
| Hospital bed density: | 3.3 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 26.1% (2016) |
| Education expenditures: | 5.9% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 98.7% |
| Literacy: | female: 96.8% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 8.6% |
| Unemployment, youth ages 15-24: | male: 8.2% |
| Unemployment, youth ages 15-24: | female: 9.1% (2016 est.) |
