| People and Society | SAINT LUCIA |
| --- | --- |
| Nationality: | noun: Saint Lucian(s) |
| Nationality: | adjective: Saint Lucian |
| Ethnic groups: | black/African descent 85.3%, mixed 10.9%, East Indian 2.2%, other 1.6%, unspecified 0.1% (2010 est.) |
| Languages: | English (official), French patois |
| Religions: | Roman Catholic 61.5%, Protestant 25.5% (includes Seventh Day Adventist 10.4%, Pentecostal 8.9%, Baptist 2.2%, Anglican 1.6%, Church of God 1.5%, other Protestant .9%), other Christian 3.4% (includes Evangelical 2.3% and Jehovah's Witness 1.1%), Rastafarian 1.9%, other 0.4%, none 5.9%, unspecified 1.4% (2010 est.) |
| Population: | 163,922 (July 2015 est.) |
| Age structure: | 0-14 years: 20.75% (male 17,508/female 16,503) |
| Age structure: | 15-24 years: 16.3% (male 13,541/female 13,177) |
| Age structure: | 25-54 years: 42.93% (male 33,812/female 36,565) |
| Age structure: | 55-64 years: 9.18% (male 6,964/female 8,084) |
| Age structure: | 65 years and over: 10.84% (male 8,036/female 9,732) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 47.3% |
| population pyramid: | youth dependency ratio: 34.1% |
| population pyramid: | elderly dependency ratio: 13.3% |
| population pyramid: | potential support ratio: 7.5% (2015 est.) |
| Median age: | total: 33.5 years |
| Median age: | male: 32.4 years |
| Median age: | female: 34.6 years (2015 est.) |
| Population growth rate: | 0.34% (2015 est.) |
| Birth rate: | 13.7 births/1,000 population (2015 est.) |
| Death rate: | 7.42 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.93 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 18.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.89% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CASTRIES (capital) 22,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 11.45 deaths/1,000 live births |
| Infant mortality rate: | male: 10.9 deaths/1,000 live births |
| Infant mortality rate: | female: 12.02 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 77.6 years |
| Life expectancy at birth: | male: 74.87 years |
| Life expectancy at birth: | female: 80.47 years (2015 est.) |
| Total fertility rate: | 1.76 children born/woman (2015 est.) |
| Health expenditures: | 8.5% of GDP (2013) |
| Physicians density: | 0.11 physicians/1,000 population (2009) |
| Hospital bed density: | 1.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 95.6% of population |
| Drinking water source: | total: 96.3% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 4.4% of population |
| unimproved: | total: 3.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84.7% of population |
| Sanitation facility access: | rural: 91.9% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 15.3% of population |
| unimproved: | rural: 8.1% of population |
| unimproved: | total: 9.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27% (2014) |
| Children under the age of 5 years underweight: | 2.8% (2012) |
| Education expenditures: | 4.7% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2007) |
| Unemployment, youth ages 15-24: | total: 27.5% |
| Unemployment, youth ages 15-24: | male: 21.5% |
| Unemployment, youth ages 15-24: | female: 35.2% (2007 est.) |
