| People and Society | Saint Lucia |
| --- | --- |
| Nationality: | noun: Saint Lucian(s) |
| Nationality: | adjective: Saint Lucian |
| Ethnic groups: | black 82.5%, mixed 11.9%, East Indian 2.4%, other or unspecified 3.1% (2001 census) |
| Languages: | English (official), French patois |
| Religions: | Roman Catholic 67.5%, Protestant 18.2% (Seventh-Day Adventist 8.5%, Pentecostal 5.7%, Anglican 2%, Evangelical 2%), other Christian 5.1%, Rastafarian 2.1%, other 1.1%, unspecified 1.5%, none 4.5% (2001 census) |
| Population: | 162,781 (July 2013 est.) |
| Age structure: | 0-14 years: 21.6% (male 18,101/female 17,098) |
| Age structure: | 15-24 years: 16.9% (male 13,872/female 13,602) |
| Age structure: | 25-54 years: 42.9% (male 33,528/female 36,230) |
| Age structure: | 55-64 years: 8.4% (male 6,371/female 7,372) |
| Age structure: | 65 years and over: 10.2% (male 7,510/female 9,097) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.6 % |
| population pyramid: | youth dependency ratio: 35.6 % |
| population pyramid: | elderly dependency ratio: 13 % |
| population pyramid: | potential support ratio: 7.7 (2013) |
| Median age: | total: 32.2 years |
| Median age: | male: 31.1 years |
| Median age: | female: 33.3 years (2013 est.) |
| Population growth rate: | 0.36% (2013 est.) |
| Birth rate: | 14.19 births/1,000 population (2013 est.) |
| Death rate: | 7.21 deaths/1,000 population (2013 est.) |
| Net migration rate: | -3.34 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 28% of total population (2010) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CASTRIES (capital) 15,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Maternal mortality rate: | 35 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 12.07 deaths/1,000 live births |
| Infant mortality rate: | male: 11.4 deaths/1,000 live births |
| Infant mortality rate: | female: 12.78 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 77.22 years |
| Life expectancy at birth: | male: 74.52 years |
| Life expectancy at birth: | female: 80.08 years (2013 est.) |
| Total fertility rate: | 1.78 children born/woman (2013 est.) |
| Health expenditures: | 7.2% of GDP (2011) |
| Physicians density: | 0.47 physicians/1,000 population (2002) |
| Hospital bed density: | 1.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 95% of population |
| Drinking water source: | total: 96% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 4% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 71% of population |
| Sanitation facility access: | rural: 63% of population |
| Sanitation facility access: | total: 65% of population |
| unimproved: | urban: 29% of population |
| unimproved: | rural: 37% of population |
| unimproved: | total: 35% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.4% (2008) |
| Education expenditures: | 4.4% of GDP (2011) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 90.1% |
| Literacy: | male: 89.5% |
| Literacy: | female: 90.6% (2001 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2011) |
| Unemployment, youth ages 15-24: | total: 40.8% |
| Unemployment, youth ages 15-24: | male: 37.1% |
| Unemployment, youth ages 15-24: | female: 45.5% (2004) |
