| People and Society | Slovenia |
| --- | --- |
| Population: | 2,102,126 (July 2018 est.) |
| Nationality: | noun: Slovene(s) |
| Nationality: | adjective: Slovenian |
| Ethnic groups: | Slovene 83.1%, Serb 2%, Croat 1.8%, Bosniak 1.1%, other or unspecified 12% (2002 est.) |
| Languages: | Slovenian (official) 91.1%, Serbo-Croatian 4.5%, other or unspecified 4.4%, Italian (official, only in municipalities where Italian national communities reside), Hungarian (official, only in municipalities where Hungarian national communities reside) (2002 census) |
| Religions: | Catholic 57.8%, Muslim 2.4%, Orthodox 2.3%, other Christian 0.9%, unaffiliated 3.5%, other or unspecified 23%, none 10.1% (2002 census) |
| Age structure: | 0-14 years: 14.8% (male 159,700 /female 151,351) |
| Age structure: | 15-24 years: 9.1% (male 98,856 /female 92,407) |
| Age structure: | 25-54 years: 41.71% (male 458,826 /female 417,875) |
| Age structure: | 55-64 years: 14.26% (male 149,714 /female 150,045) |
| Age structure: | 65 years and over: 20.14% (male 180,080 /female 243,272) (2018 est.) |
| Dependency ratios: | total dependency ratio: 48.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 26.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.7 (2015 est.) |
| Median age: | total: 44.2 years (2018 est.) |
| Median age: | male: 42.7 years |
| Median age: | female: 46 years |
| Population growth rate: | 0.03% (2018 est.) |
| Birth rate: | 9.2 births/1,000 population (2018 est.) |
| Death rate: | 9.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | 1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations; pockets in the mountainous northwest exhibit less density than elsewhere |
| Urbanization: | urban population: 54.8% of total population (2019) |
| Urbanization: | rate of urbanization: 0.56% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 286,000 LJUBLJANA (capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 29.1 years (2014 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 1.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 1.7 deaths/1,000 live births |
| Infant mortality rate: | female: 1.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 81.2 years (2018 est.) |
| Life expectancy at birth: | male: 78.3 years |
| Life expectancy at birth: | female: 84.2 years |
| Total fertility rate: | 1.58 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 99.7% of population |
| Drinking water source: | rural: 99.4% of population |
| Drinking water source: | total: 99.5% of population |
| Drinking water source: | unimproved: urban: 0.3% of population |
| Drinking water source: | rural: 0.6% of population |
| Drinking water source: | total: 0.5% of population (2015 est.) |
| Current Health Expenditure: | 8.5% (2016) |
| Physicians density: | 2.81 physicians/1,000 population (2015) |
| Hospital bed density: | 4.6 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 99.1% of population (2015 est.) |
| Sanitation facility access: | rural: 99.1% of population (2015 est.) |
| Sanitation facility access: | total: 99.1% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.9% of population (2015 est.) |
| Sanitation facility access: | rural: 0.9% of population (2015 est.) |
| Sanitation facility access: | total: 0.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2017 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Education expenditures: | 4.8% of GDP (2016) |
| Literacy: | definition: NA |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2016) |
| Unemployment, youth ages 15-24: | total: 11.2% |
| Unemployment, youth ages 15-24: | male: 9.9% |
| Unemployment, youth ages 15-24: | female: 13% (2017 est.) |
