| People and Society | SLOVENIA |
| --- | --- |
| Nationality: | noun: Slovene(s) |
| Nationality: | adjective: Slovenian |
| Ethnic groups: | Slovene 83.1%, Serb 2%, Croat 1.8%, Bosniak 1.1%, other or unspecified 12% (2002 census) |
| Languages: | Slovenian (official) 91.1%, Serbo-Croatian 4.5%, other or unspecified 4.4%, Italian (official, only in municipalities where Italian national communities reside), Hungarian (official, only in municipalities where Hungarian national communities reside) (2002 census) |
| Religions: | Catholic 57.8%, Muslim 2.4%, Orthodox 2.3%, other Christian 0.9%, unaffiliated 3.5%, other or unspecified 23%, none 10.1% (2002 census) |
| Population: | 1,983,412 (July 2015 est.) |
| Age structure: | 0-14 years: 13.38% (male 136,839/female 128,560) |
| Age structure: | 15-24 years: 9.76% (male 99,207/female 94,471) |
| Age structure: | 25-54 years: 43.65% (male 437,238/female 428,439) |
| Age structure: | 55-64 years: 14.81% (male 144,737/female 148,929) |
| Age structure: | 65 years and over: 18.4% (male 147,745/female 217,247) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.7% |
| population pyramid: | youth dependency ratio: 22% |
| population pyramid: | elderly dependency ratio: 26.7% |
| population pyramid: | potential support ratio: 3.7% (2015 est.) |
| Median age: | total: 43.8 years |
| Median age: | male: 42.1 years |
| Median age: | female: 45.6 years (2015 est.) |
| Population growth rate: | -0.26% (2015 est.) |
| Birth rate: | 8.42 births/1,000 population (2015 est.) |
| Death rate: | 11.37 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.37 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 49.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.08% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LJUBLJANA (capital) 279,000 (2014) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4 deaths/1,000 live births |
| Infant mortality rate: | male: 4.51 deaths/1,000 live births |
| Infant mortality rate: | female: 3.46 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 78.01 years |
| Life expectancy at birth: | male: 74.4 years |
| Life expectancy at birth: | female: 81.86 years (2015 est.) |
| Total fertility rate: | 1.34 children born/woman (2015 est.) |
| Health expenditures: | 9.2% of GDP (2013) |
| Physicians density: | 2.54 physicians/1,000 population (2010) |
| Hospital bed density: | 4.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 99.4% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0.6% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.1% of population |
| Sanitation facility access: | rural: 99.1% of population |
| Sanitation facility access: | total: 99.1% of population |
| unimproved: | urban: 0.9% of population |
| unimproved: | rural: 0.9% of population |
| unimproved: | total: 0.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.08% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 900 (2014 est.) |
| HIV/AIDS - deaths: | less than 100 (2014 est.) |
| Obesity - adult prevalence rate: | 27.4% (2014) |
| Education expenditures: | 5.7% of GDP (2011) |
| Literacy: | definition: NA |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2012) |
| Unemployment, youth ages 15-24: | total: 20.6% |
| Unemployment, youth ages 15-24: | male: 20.3% |
| Unemployment, youth ages 15-24: | female: 21% (2012 est.) |
