| People and Society | AMERICAN SAMOA |
| --- | --- |
| Nationality: | noun: American Samoan(s) (US nationals) |
| Nationality: | adjective: American Samoan |
| Ethnic groups: | Native Hawaiian and other Pacific Islander 92.6% (includes Samoan 88.9%, Tongan 2.9%, other .8%), Asian 3.6% (includes Filipino 2.2%, other 1.4%), mixed 2.7%, other 1.2% (2010 est.) |
| Languages: | Samoan 88.6% (closely related to Hawaiian and other Polynesian languages), English 3.9%, Tongan 2.7%, other Pacific islander 3%, other 1.8% |
| Languages: | note: most people are bilingual (2010 est.) |
| Religions: | Christian 98.3%, other 1%, unaffiliated 0.7% (2010 est.) |
| Population: | 54,343 (July 2015 est.) |
| Age structure: | 0-14 years: 24.45% (male 6,506/female 6,780) |
| Age structure: | 15-24 years: 19.61% (male 5,264/female 5,395) |
| Age structure: | 25-54 years: 42.1% (male 11,775/female 11,105) |
| Age structure: | 55-64 years: 8.69% (male 2,326/female 2,397) |
| Age structure: | 65 years and over: 5.14% (male 1,287/female 1,508) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 28.8 years |
| population pyramid: | male: 29.4 years |
| population pyramid: | female: 28.3 years (2015 est.) |
| Population growth rate: | -0.3% (2015 est.) |
| Birth rate: | 22.89 births/1,000 population (2015 est.) |
| Death rate: | 4.75 deaths/1,000 population (2015 est.) |
| Net migration rate: | -21.13 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 87.2% of total population (2015) |
| Urbanization: | rate of urbanization: -0.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PAGO PAGO (capital) 48,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 0.96 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 8.69 deaths/1,000 live births |
| Infant mortality rate: | male: 11.16 deaths/1,000 live births |
| Infant mortality rate: | female: 6.09 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.14 years |
| Life expectancy at birth: | male: 72.18 years |
| Life expectancy at birth: | female: 78.28 years (2015 est.) |
| Total fertility rate: | 2.92 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 62.5% of population |
| Sanitation facility access: | rural: 62.5% of population |
| Sanitation facility access: | total: 62.5% of population |
| unimproved: | urban: 37.5% of population |
| unimproved: | rural: 37.5% of population |
| unimproved: | total: 37.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
