| People and Society | American Samoa |
| --- | --- |
| Population: | 49,437 (July 2020 est.) |
| Nationality: | noun: American Samoan(s) (US nationals) |
| Nationality: | adjective: American Samoan |
| Ethnic groups: | Pacific Islander 92.6% (includes Samoan 88.9%, Tongan 2.9%, other .8%), Asian 3.6% (includes Filipino 2.2%, other 1.4%), mixed 2.7%, other 1.2% (2010 est.) |
| Ethnic groups: | note: data represent population by ethnic origin or race |
| Languages: | Samoan 88.6% (closely related to Hawaiian and other Polynesian languages), English 3.9%, Tongan 2.7%, other Pacific islander 3%, other 1.8% (2010 est.) |
| Languages: | note: most people are bilingual |
| Religions: | Christian 98.3%, other 1%, unaffiliated 0.7% (2010 est.) |
| Age structure: | 0-14 years: 27.76% (male 7,063/female 6,662) |
| Age structure: | 15-24 years: 18.16% (male 4,521/female 4,458) |
| Age structure: | 25-54 years: 37.49% (male 9,164/female 9,370) |
| Age structure: | 55-64 years: 9.69% (male 2,341/female 2,447) |
| Age structure: | 65 years and over: 6.9% (male 1,580/female 1,831) (2020 est.) |
| Median age: | total: 27.2 years |
| Median age: | male: 26.7 years |
| Median age: | female: 27.7 years (2020 est.) |
| Population growth rate: | -1.4% (2020 est.) |
| Birth rate: | 17.8 births/1,000 population (2020 est.) |
| Death rate: | 5.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -26.1 migrant(s)/1,000 population (2020 est.) |
| Urbanization: | urban population: 87.2% of total population (2020) |
| Urbanization: | rate of urbanization: 0.07% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 49,000 PAGO PAGO (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 9.9 deaths/1,000 live births |
| Infant mortality rate: | male: 11.7 deaths/1,000 live births |
| Infant mortality rate: | female: 8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.8 years |
| Life expectancy at birth: | male: 72.3 years |
| Life expectancy at birth: | female: 77.5 years (2020 est.) |
| Total fertility rate: | 2.35 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Sanitation facility access: | improved: total: 99% of population |
| Sanitation facility access: | unimproved: total: 1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
