| People and Society | Macau |
| --- | --- |
| Nationality: | noun: Chinese |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Chinese 94.3%, other 5.7% (includes Macanese - mixed Portuguese and Asian ancestry) (2006 census) |
| Languages: | Cantonese 85.7%, Hokkien 4%, Mandarin 3.2%, other Chinese dialects 2.7%, English 1.5%, Tagalog 1.3%, other 1.6% |
| Languages: | note: Chinese and Portuguese are the official language (2001 census) |
| Religions: | Buddhist 50%, Roman Catholic 15%, none or other 35% (1997 est.) |
| Population: | 578,025 (July 2012 est.) |
| Age structure: | 0-14 years: 14.7% (male 44,866/ female 40,159) |
| Age structure: | 15-64 years: 76.8% (male 207,982/ female 235,917) |
| Age structure: | 65 years and over: 8.5% (male 23,024/ female 26,077) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 36.7 years |
| Median age: | male: 37.3 years |
| Median age: | female: 36.3 years (2012 est.) |
| Population growth rate: | 0.866% (2012 est.) |
| Birth rate: | 9.05 births/1,000 population (2012 est.) |
| Death rate: | 3.85 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 3.46 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 100% of total population (2010) |
| Urbanization: | rate of urbanization: 0.7% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.12 male(s)/female |
| Sex ratio: | 15-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 3.17 deaths/1,000 live births |
| Infant mortality rate: | male: 3.32 deaths/1,000 live births |
| Infant mortality rate: | female: 3 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 84.43 years |
| Life expectancy at birth: | male: 81.47 years |
| Life expectancy at birth: | female: 87.54 years (2012 est.) |
| Total fertility rate: | 0.92 children born/woman (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.2% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91.3% |
| Literacy: | male: 95.3% |
| Literacy: | female: 87.8% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Unemployment, youth ages 15-24: | total: 7.5% |
| Unemployment, youth ages 15-24: | male: 9.8% |
| Unemployment, youth ages 15-24: | female: 5.4% (2009) |
