| People and Society | Mexico |
| --- | --- |
| Population: | 128,649,565 (July 2020 est.) |
| Nationality: | noun: Mexican(s) |
| Nationality: | adjective: Mexican |
| Ethnic groups: | Mestizo (Amerindian-Spanish) 62%, predominantly Amerindian 21%, Amerindian 7%, other 10% (mostly European) (2012 est.) |
| Ethnic groups: | note: Mexico does not collect census data on ethnicity |
| Languages: | Spanish only 92.7%, Spanish and indigenous languages 5.7%, indigenous only 0.8%, unspecified 0.8% (2005) |
| Languages: | note: indigenous languages include various Mayan, Nahuatl, and other regional languages |
| Religions: | Roman Catholic 82.7%, Pentecostal 1.6%, Jehovah's Witness 1.4%, other Evangelical Churches 5%, other 1.9%, none 4.7%, unspecified 2.7% (2010 est.) |
| Age structure: | 0-14 years: 26.01% (male 17,111,199/female 16,349,767) |
| Age structure: | 15-24 years: 16.97% (male 11,069,260/female 10,762,784) |
| Age structure: | 25-54 years: 41.06% (male 25,604,223/female 27,223,720) |
| Age structure: | 55-64 years: 8.29% (male 4,879,048/female 5,784,176) |
| Age structure: | 65 years and over: 7.67% (male 4,373,807/female 5,491,581) (2020 est.) |
| Dependency ratios: | total dependency ratio: 50.3 |
| Dependency ratios: | youth dependency ratio: 38.8 |
| Dependency ratios: | elderly dependency ratio: 11.4 |
| Dependency ratios: | potential support ratio: 8.7 (2020 est.) |
| Median age: | total: 29.3 years |
| Median age: | male: 28.2 years |
| Median age: | female: 30.4 years (2020 est.) |
| Population growth rate: | 1.04% (2020 est.) |
| Birth rate: | 17.6 births/1,000 population (2020 est.) |
| Death rate: | 5.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most of the population is found in the middle of the country between the states of Jalisco and Veracruz; approximately a quarter of the population lives in and around Mexico City |
| Urbanization: | urban population: 80.7% of total population (2020) |
| Urbanization: | rate of urbanization: 1.59% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 21.782 million MEXICO CITY (capital), 5.179 million Guadalajara, 4.874 million Monterrey, 3.195 million Puebla, 2.467 million Toluca de Lerdo, 2.140 million Tijuana (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21.3 years (2008 est.) |
| Maternal mortality rate: | 33 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 10.7 deaths/1,000 live births |
| Infant mortality rate: | male: 12 deaths/1,000 live births |
| Infant mortality rate: | female: 9.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.7 years |
| Life expectancy at birth: | male: 73.9 years |
| Life expectancy at birth: | female: 79.6 years (2020 est.) |
| Total fertility rate: | 2.19 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 73.1% (2018) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 96.6% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 3.4% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 5.5% (2017) |
| Physicians density: | 2.38 physicians/1,000 population (2017) |
| Hospital bed density: | 1.5 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 99.3% of population |
| Sanitation facility access: | rural: 91.9% of population |
| Sanitation facility access: | total: 97.8% of population |
| Sanitation facility access: | unimproved: urban: 0.7% of population |
| Sanitation facility access: | rural: 8.1% of population |
| Sanitation facility access: | total: 2.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 230,000 (2018 est.) |
| HIV/AIDS - deaths: | 4,000 (2017 est.) |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | note: a new coronavirus is causing sustained community spread of respiratory illness (COVID-19) in Mexico; sustained community spread means that people have been infected with the virus, but how or where they became infected is not known, and the spread is ongoing; illness with this virus has ranged from mild to severe with fatalities reported; as of 5 August 2020, Mexico has reported 443,813 confirmed cases of COVID19 with 48,012Â deaths |
| Obesity - adult prevalence rate: | 28.9% (2016) |
| Children under the age of 5 years underweight: | 4.2% (2016) |
| Education expenditures: | 4.5% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.4% |
| Literacy: | male: 95.8% |
| Literacy: | female: 94.6% (2018) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2018) |
| Unemployment, youth ages 15-24: | total: 6.9% |
| Unemployment, youth ages 15-24: | male: 6.5% |
| Unemployment, youth ages 15-24: | female: 7.6% (2018 est.) |
