| People and Society | Mexico |
| --- | --- |
| Nationality: | noun: Mexican(s) |
| Nationality: | adjective: Mexican |
| Ethnic groups: | mestizo (Amerindian-Spanish) 60%, Amerindian or predominantly Amerindian 30%, white 9%, other 1% |
| Languages: | Spanish only 92.7%, Spanish and indigenous languages 5.7%, indigenous only 0.8%, unspecified 0.8% |
| Languages: | note: indigenous languages include various Mayan, Nahuatl, and other regional languages (2005) |
| Religions: | Roman Catholic 76.5%, Protestant 6.3% (Pentecostal 1.4%, other 3.8%), Jehovah's Witnesses 1.1%, other 0.3%, unspecified 13.8%, none 3.1% (2000 census) |
| Population: | 113,724,226 (July 2011 est.) |
| Age structure: | 0-14 years: 28.2% (male 16,395,974/female 15,714,182) |
| Age structure: | 15-64 years: 65.2% (male 35,842,495/female 38,309,528) |
| Age structure: | 65 years and over: 6.6% (male 3,348,495/female 4,113,552) (2011 est.) |
| Median age: | total: 27.1 years |
| Median age: | male: 26 years |
| Median age: | female: 28.1 years (2011 est.) |
| Population growth rate: | 1.102% (2011 est.) |
| Birth rate: | 19.13 births/1,000 population (2011 est.) |
| Death rate: | 4.86 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -3.24 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 78% of total population (2010) |
| Urbanization: | rate of urbanization: 1.2% annual rate of change (2010-15 est.) |
| Urbanization: | note: Mexico City is the second-largest urban agglomeration in the Western Hemisphere, after Sao Paulo (Brazil), but before New York-Newark (US) |
| Major cities - population: | MEXICO CITY (capital) 19.319 million; Guadalajara 4.338 million; Monterrey 3.838 million; Puebla 2.278 million; Tijuana 1.629 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2011 est.) |
| Maternal mortality rate: | 85 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 17.29 deaths/1,000 live births |
| Infant mortality rate: | male: 19.14 deaths/1,000 live births |
| Infant mortality rate: | female: 15.36 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 76.47 years |
| Life expectancy at birth: | male: 73.65 years |
| Life expectancy at birth: | female: 79.43 years (2011 est.) |
| Total fertility rate: | 2.29 children born/woman (2011 est.) |
| Health expenditures: | 13.8% of GDP (2009) |
| Physicians density: | 2.893 physicians/1,000 population (2004) |
| Hospital bed density: | 1.6 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 6% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 90% of population |
| Sanitation facility access: | rural: 68% of population |
| Sanitation facility access: | total: 85% of population |
| unimproved: | urban: 10% of population |
| unimproved: | rural: 32% of population |
| unimproved: | total: 15% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 220,000 (2009 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Obesity - adult prevalence rate: | 23.6% (2000) |
| Children under the age of 5 years underweight: | 3.4% (2006) |
| Education expenditures: | 4.8% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.1% |
| Literacy: | male: 86.9% |
| Literacy: | female: 85.3% (2005 Census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2008) |
| Unemployment, youth ages 15-24: | total: 10% |
| Unemployment, youth ages 15-24: | male: 9.7% |
| Unemployment, youth ages 15-24: | female: 10.6% (2009) |
