| People and Society | Qatar |
| --- | --- |
| Population: | 2,363,569 (July 2018 est.) |
| Nationality: | noun: Qatari(s) |
| Nationality: | adjective: Qatari |
| Ethnic groups: | non-Qatari 88.4%, Qatari 11.6% (2015 est.) |
| Languages: | Arabic (official), English commonly used as a second language |
| Religions: | Muslim 67.7%, Christian 13.8%, Hindu 13.8%, Buddhist 3.1%, folk religion <.1%, Jewish <.1%, other 0.7%, unaffiliated 0.9% (2010 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 12.7% (male 151,888 /female 148,186) |
| Age structure: | 15-24 years: 12.12% (male 205,242 /female 81,297) |
| Age structure: | 25-54 years: 70.67% (male 1,391,192 /female 279,256) |
| Age structure: | 55-64 years: 3.44% (male 62,683 /female 18,731) |
| Age structure: | 65 years and over: 1.06% (male 16,295 /female 8,799) (2018 est.) |
| Dependency ratios: | total dependency ratio: 17.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 16.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 1.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 78.1 (2015 est.) |
| Median age: | total: 33.4 years (2018 est.) |
| Median age: | male: 34.6 years |
| Median age: | female: 28.2 years |
| Population growth rate: | 1.95% (2018 est.) |
| Birth rate: | 9.5 births/1,000 population (2018 est.) |
| Death rate: | 1.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | 11.5 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most of the population is clustered in or around the capital of Doha on the eastern side of the peninsula |
| Urbanization: | urban population: 99.2% of total population (2019) |
| Urbanization: | rate of urbanization: 2.41% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 637,000 DOHA (capital) (2019) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 2.52 male(s)/female |
| Sex ratio: | 25-54 years: 4.98 male(s)/female |
| Sex ratio: | 55-64 years: 3.35 male(s)/female |
| Sex ratio: | 65 years and over: 1.85 male(s)/female |
| Sex ratio: | total population: 3.41 male(s)/female (2018 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 6.3 deaths/1,000 live births |
| Infant mortality rate: | female: 5.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 79 years (2018 est.) |
| Life expectancy at birth: | male: 76.9 years |
| Life expectancy at birth: | female: 81.2 years |
| Total fertility rate: | 1.89 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 37.5% (2012) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 3.1% (2016) |
| Physicians density: | 2.78 physicians/1,000 population (2016) |
| Hospital bed density: | 1.2 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 98% of population (2015 est.) |
| Sanitation facility access: | rural: 98% of population (2015 est.) |
| Sanitation facility access: | total: 98% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2% of population (2015 est.) |
| Sanitation facility access: | rural: 2% of population (2015 est.) |
| Sanitation facility access: | total: 2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2017 est.) |
| HIV/AIDS - deaths: | <100 (2017 est.) |
| Obesity - adult prevalence rate: | 35.1% (2016) |
| Education expenditures: | 2.9% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.3% |
| Literacy: | male: 97.4% |
| Literacy: | female: 96.8% (2015) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2017) |
| Unemployment, youth ages 15-24: | total: 0.5% |
| Unemployment, youth ages 15-24: | male: 0.2% |
| Unemployment, youth ages 15-24: | female: 2% (2017 est.) |
