| People and Society | Qatar |
| --- | --- |
| Nationality: | noun: Qatari(s) |
| Nationality: | adjective: Qatari |
| Ethnic groups: | Arab 40%, Indian 18%, Pakistani 18%, Iranian 10%, other 14% |
| Languages: | Arabic (official), English commonly used as a second language |
| Religions: | Muslim 77.5%, Christian 8.5%, other (includes mainly Hindu and other Indian religions) 14% (2004 est.) |
| Population: | 2,123,160 (July 2014 est.) |
| Age structure: | 0-14 years: 12.5% (male 134,477/female 130,640) |
| Age structure: | 15-24 years: 13.4% (male 208,278/female 75,889) |
| Age structure: | 25-54 years: 69.9% (male 1,228,151/female 256,099) |
| Age structure: | 55-64 years: 3.4% (male 55,386/female 16,156) |
| Age structure: | 65 years and over: 0.8% (male 11,226/female 6,858) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 17.1 % |
| population pyramid: | youth dependency ratio: 16 % |
| population pyramid: | elderly dependency ratio: 1.1 % |
| population pyramid: | potential support ratio: 87.4 (2014 est.) |
| Median age: | total: 32.6 years |
| Median age: | male: 33.6 years |
| Median age: | female: 28 years (2014 est.) |
| Population growth rate: | 3.58% (2014 est.) |
| Birth rate: | 9.95 births/1,000 population (2014 est.) |
| Death rate: | 1.53 deaths/1,000 population (2014 est.) |
| Net migration rate: | 27.35 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 98.8% of total population (2011) |
| Urbanization: | rate of urbanization: 3.01% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DOHA (capital) 567,000 (2011) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 2.75 male(s)/female |
| Sex ratio: | 25-54 years: 4.8 male(s)/female |
| Sex ratio: | 55-64 years: 3.37 male(s)/female |
| Sex ratio: | 65 years and over: 1.5 male(s)/female |
| Sex ratio: | total population: 3.29 male(s)/female (2014 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 6.42 deaths/1,000 live births |
| Infant mortality rate: | male: 6.67 deaths/1,000 live births |
| Infant mortality rate: | female: 6.16 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 78.38 years |
| Life expectancy at birth: | male: 76.4 years |
| Life expectancy at birth: | female: 80.4 years (2014 est.) |
| Total fertility rate: | 1.92 children born/woman (2014 est.) |
| Health expenditures: | 1.9% of GDP (2011) |
| Physicians density: | 2.76 physicians/1,000 population (2006) |
| Hospital bed density: | 1.2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 200 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 33.2% (2008) |
| Education expenditures: | 2.5% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.3% |
| Literacy: | male: 96.5% |
| Literacy: | female: 95.4% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2005) |
| Unemployment, youth ages 15-24: | total: 1.3% |
| Unemployment, youth ages 15-24: | male: 0.4% |
| Unemployment, youth ages 15-24: | female: 8.9% (2011) |
