| People and Society | Namibia |
| --- | --- |
| Nationality: | noun: Namibian(s) |
| Nationality: | adjective: Namibian |
| Ethnic groups: | black 87.5%, white 6%, mixed 6.5% |
| Ethnic groups: | note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other ethnic groups include Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, Bushmen 3%, Baster 2%, Tswana 0.5% |
| Languages: | English (official) 7%, Afrikaans (common language of most of the population and about 60% of the white population), German 32%, indigenous languages (includes Oshivambo, Herero, Nama) 1% |
| Religions: | Christian 80% to 90% (at least 50% Lutheran), indigenous beliefs 10% to 20% |
| Population: | 2,165,828 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 33.4% (male 365,100/ female 358,278) |
| Age structure: | 15-64 years: 62.4% (male 686,759/ female 664,928) |
| Age structure: | 65 years and over: 4.2% (male 39,813/ female 50,950) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 22.1 years |
| Median age: | male: 22.1 years |
| Median age: | female: 22.1 years (2012 est.) |
| Population growth rate: | 0.817% (2012 est.) |
| Birth rate: | 21.11 births/1,000 population (2012 est.) |
| Death rate: | 13.09 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0.15 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 38% of total population (2010) |
| Urbanization: | rate of urbanization: 3.3% annual rate of change (2010-15 est.) |
| Major cities - population: | WINDHOEK (capital) 342,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2011 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 45.61 deaths/1,000 live births |
| Infant mortality rate: | male: 48.76 deaths/1,000 live births |
| Infant mortality rate: | female: 42.36 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 52.17 years |
| Life expectancy at birth: | male: 52.47 years |
| Life expectancy at birth: | female: 51.86 years (2012 est.) |
| Total fertility rate: | 2.41 children born/woman (2012 est.) |
| Health expenditures: | 5.9% of GDP (2009) |
| Physicians density: | 0.374 physicians/1,000 population (2007) |
| Hospital bed density: | 2.67 beds/1,000 population (2009) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 60% of population |
| Sanitation facility access: | rural: 17% of population |
| Sanitation facility access: | total: 33% of population |
| unimproved: | urban: 40% of population |
| unimproved: | rural: 83% of population |
| unimproved: | total: 67% of population |
| HIV/AIDS - adult prevalence rate: | 13.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 180,000 (2009 est.) |
| HIV/AIDS - deaths: | 6,700 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Children under the age of 5 years underweight: | 17.5% (2007) |
| Education expenditures: | 6.4% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.8% |
| Literacy: | male: 89% |
| Literacy: | female: 88.5% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 41.7% |
| Unemployment, youth ages 15-24: | male: 36.7% |
| Unemployment, youth ages 15-24: | female: 47.1% (2004) |
