| People | Namibia |
| --- | --- |
| Population: | 2,030,692 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 38.7% (male 396,247/female 389,543) |
| Age structure: | 15-64 years: 57.7% (male 586,900/female 584,779) |
| Age structure: | 65 years and over: 3.6% (male 33,524/female 39,699) (2005 est.) |
| Median age: | total: 19.79 years |
| Median age: | male: 19.63 years |
| Median age: | female: 19.94 years (2005 est.) |
| Population growth rate: | 0.73% (2005 est.) |
| Birth rate: | 25.16 births/1,000 population (2005 est.) |
| Death rate: | 18.36 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0.52 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 48.98 deaths/1,000 live births |
| Infant mortality rate: | male: 53 deaths/1,000 live births |
| Infant mortality rate: | female: 44.84 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 43.93 years |
| Life expectancy at birth: | male: 44.71 years |
| Life expectancy at birth: | female: 43.13 years (2005 est.) |
| Total fertility rate: | 3.18 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 21.3% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 210,000 (2001 est.) |
| HIV/AIDS - deaths: | 16,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2004) |
| Nationality: | noun: Namibian(s) |
| Nationality: | adjective: Namibian |
| Ethnic groups: | black 87.5%, white 6%, mixed 6.5% |
| Ethnic groups: | note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other ethnic groups are: Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, Bushmen 3%, Baster 2%, Tswana 0.5% |
| Religions: | Christian 80% to 90% (Lutheran 50% at least), indigenous beliefs 10% to 20% |
| Languages: | English 7% (official), Afrikaans common language of most of the population and about 60% of the white population, German 32%, indigenous languages: Oshivambo, Herero, Nama |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84% |
| Literacy: | male: 84.4% |
| Literacy: | female: 83.7% (2003 est.) |
