| People and Society | Peru |
| --- | --- |
| Nationality: | noun: Peruvian(s) |
| Nationality: | adjective: Peruvian |
| Ethnic groups: | Amerindian 45%, mestizo (mixed Amerindian and white) 37%, white 15%, black, Japanese, Chinese, and other 3% |
| Languages: | Spanish (official) 84.1%, Quechua (official) 13%, Aymara (official) 1.7%, Ashaninka 0.3%, other native languages (includes a large number of minor Amazonian languages) 0.7%, other 0.2% (2007 Census) |
| Religions: | Roman Catholic 81.3%, Evangelical 12.5%, other 3.3%, unspecified or none 2.9% (2007 Census) |
| Demographic profile: | Peru's urban and coastal communities have benefited much more from recent economic growth than rural, Afro-Peruvian, indigenous, and poor populations of the Amazon and mountain regions. The poverty rate has dropped substantially during the last decade but remains stubbornly high at about 30% (more than 55% in rural areas). After remaining almost static for about a decade, Peru's malnutrition rate began falling in 2005, when the government introduced a coordinated strategy focusing on hygiene, sanitation, and clean water. School enrollment has improved, but achievement scores reflect ongoing problems with educational quality. Many poor children temporarily or permanently drop out of school to help support their families. About a quarter to a third of Peruvian children aged 6 to 14 work, often putting in long hours at hazardous mining or construction sites. |
| Demographic profile: | Peru was a country of immigration in the 19th and early 20th centuries, but has become a country of emigration in the last few decades. Beginning in the 19th century, Peru brought in Asian contract laborers mainly to work on coastal plantations. Populations of Chinese and Japanese descent - among the largest in Latin America - are economically and culturally influential in Peru today. Peruvian emigration began rising in the 1980s due to an economic crisis and a violent internal conflict, but outflows have stabilized in the last few years as economic conditions have improved. Nonetheless, more than 2 million Peruvians have emigrated in the last decade, principally to the US, Spain, and Argentina. |
| Population: | 29,849,303 (July 2013 est.) |
| Age structure: | 0-14 years: 27.6% (male 4,197,698/female 4,053,852) |
| Age structure: | 15-24 years: 19.4% (male 2,894,420/female 2,891,714) |
| Age structure: | 25-54 years: 39.2% (male 5,633,249/female 6,056,017) |
| Age structure: | 55-64 years: 7.1% (male 1,039,975/female 1,086,428) |
| Age structure: | 65 years and over: 6.7% (male 947,349/female 1,048,601) (2013 est.) |
| population pyramid: | Dependency ratios: |
