| People and Society | Peru |
| --- | --- |
| Population: | 31,331,228 (July 2018 est.) |
| Nationality: | noun: Peruvian(s) |
| Nationality: | adjective: Peruvian |
| Ethnic groups: | mestizo (mixed Amerindian and white) 60.2%, Amerindian 25.8%,Â white 5.9%, African descent 3.6%, other (includes Chinese and Japanese descent) 1.2%, unspecified 3.3% (2017 est.) |
| Languages: | Spanish (official) 82.9%, Quechua (official) 13.6%, Aymara (official) 1.6%, Ashaninka 0.3%, other native languages (includes a large number of minor Amazonian languages) 0.8%, other (includes foreign languages and sign language) 0.2%, none .1%, unspecified .7% (2017 est.) |
| Religions: | Roman Catholic 60%, Christian 14.6% (includesÂ evangelical 11.1%, other 3.5%), other .3%, none 4%, unspecified 21.1% (2017 est.) |
| Demographic profile: | Peru's urban and coastal communities have benefited much more from recent economic growth than rural, Afro-Peruvian, indigenous, and poor populations of the Amazon and mountain regions. The poverty rate has dropped substantially during the last decade but remains stubbornly high at about 30% (more than 55% in rural areas). After remaining almost static for about a decade, Peru's malnutrition rate began falling in 2005, when the government introduced a coordinated strategy focusing on hygiene, sanitation, and clean water. School enrollment has improved, but achievement scores reflect ongoing problems with educational quality. Many poor children temporarily or permanently drop out of school to help support their families. About a quarter to a third of Peruvian children aged 6 to 14 work, often putting in long hours at hazardous mining or construction sites. |
| Demographic profile: | Peru was a country of immigration in the 19th and early 20th centuries, but has become a country of emigration in the last few decades. Beginning in the 19th century, Peru brought in Asian contract laborers mainly to work on coastal plantations. Populations of Chinese and Japanese descent - among the largest in Latin America - are economically and culturally influential in Peru today. Peruvian emigration began rising in the 1980s due to an economic crisis and a violent internal conflict, but outflows have stabilized in the last few years as economic conditions have improved. Nonetheless, more than 2 million Peruvians have emigrated in the last decade, principally to the US, Spain, and Argentina. |
| Age structure: | 0-14 years: 26.01% (male 4,147,404 /female 4,001,069) |
| Age structure: | 15-24 years: 17.96% (male 2,820,562 /female 2,806,280) |
| Age structure: | 25-54 years: 40.47% (male 6,081,748 /female 6,597,405) |
| Age structure: | 55-64 years: 7.95% (male 1,201,272 /female 1,289,734) |
| Age structure: | 65 years and over: 7.61% (male 1,125,850 /female 1,259,904) (2018 est.) |
| Dependency ratios: | total dependency ratio: 53.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 42.7 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 10.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 9.6 (2015 est.) |
| Median age: | total: 28.4 years |
| Median age: | male: 27.6 years |
| Median age: | female: 29.1 years (2018 est.) |
| Population growth rate: | 0.94% (2018 est.) |
| Birth rate: | 17.6 births/1,000 population (2018 est.) |
| Death rate: | 6.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | -2.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | approximately one-third of the population resides along the desert coastal belt in the west, with a strong focus on the capital city of Lima; the Andean highlands, or sierra, which is strongly identified with the country's Amerindian population, contains roughly half of the overall population; the eastern slopes of the Andes, and adjoining rainforest, are sparsely populated |
| Urbanization: | urban population: 77.9% of total population (2018) |
| Urbanization: | rate of urbanization: 1.44% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 10.391 million LIMA (capital), 900,000 Arequipa, 838,000 Trujillo (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.92 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.94 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.9 male(s)/female (2017 est.) |
