| People and Society | YEMEN |
| --- | --- |
| Population: | 28,036,829 (July 2017 est.) |
| Nationality: | noun: Yemeni(s) |
| Nationality: | adjective: Yemeni |
| Ethnic groups: | predominantly Arab; but also Afro-Arab, South Asians, Europeans |
| Languages: | Arabic (official) |
| Languages: | note: a distinct Socotri language is widely used on Socotra Island and Archipelago; Mahri is still fairly widely spoken in eastern Yemen |
| Religions: | Muslim 99.1% (official; virtually all are citizens, an estimated 65% are Sunni and 35% are Shia), other 0.9% (includes Jewish, Baha'i, Hindu, and Christian; many are refugees or temporary foreign residents) (2010 est.) |
| Age structure: | 0-14 years: 39.83% (male 5,681,084/female 5,485,959) |
| Age structure: | 15-24 years: 21.21% (male 3,015,232/female 2,930,329) |
| Age structure: | 25-54 years: 32.27% (male 4,625,967/female 4,422,418) |
| Age structure: | 55-64 years: 3.94% (male 506,759/female 598,973) |
| Age structure: | 65 years and over: 2.75% (male 353,953/female 416,155) (2017 est.) |
| Dependency ratios: | total dependency ratio: 76.8 |
| Dependency ratios: | youth dependency ratio: 71.7 |
| Dependency ratios: | elderly dependency ratio: 5.1 |
| Dependency ratios: | potential support ratio: 19.8 (2015 est.) |
| Median age: | total: 19.5 years |
| Median age: | male: 19.3 years |
| Median age: | female: 19.6 years (2017 est.) |
| Population growth rate: | 2.28% (2017 est.) |
| Birth rate: | 28.4 births/1,000 population (2017 est.) |
| Death rate: | 6 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of the population is found in the Asir Mountains (part of the larger Sarawat Mountain system), located in the far western region of the country |
| Urbanization: | urban population: 35.8% of total population (2017) |
| Urbanization: | rate of urbanization: 3.76% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SANAA (capital) 2.962 million; Aden 882,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.4 years |
| Mother's mean age at first birth: | median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 385 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 46 deaths/1,000 live births |
| Infant mortality rate: | male: 50.1 deaths/1,000 live births |
| Infant mortality rate: | female: 41.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 65.9 years |
| Life expectancy at birth: | male: 63.7 years |
| Life expectancy at birth: | female: 68.2 years (2017 est.) |
| Total fertility rate: | 3.63 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 33.5% (2013) |
| Health expenditures: | 5.6% of GDP (2014) |
| Physicians density: | 0.31 physicians/1,000 population (2014) |
| Hospital bed density: | 0.7 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 72% of population |
| Drinking water source: | rural: 46.5% of population |
| Drinking water source: | total: 54.9% of population |
| unimproved: | urban: 28% of population |
| unimproved: | rural: 53.5% of population |
| unimproved: | total: 45.1% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92.5% of population |
| Sanitation facility access: | rural: 34.1% of population |
| Sanitation facility access: | total: 53.3% of population |
| unimproved: | urban: 7.5% of population |
| unimproved: | rural: 65.9% of population |
| unimproved: | total: 46.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,900 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 17.1% (2016) |
| Children under the age of 5 years underweight: | 39.9% (2013) |
| Education expenditures: | 4.6% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 70.1% |
| Literacy: | male: 85.1% |
| Literacy: | female: 55% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 33.7% |
| Unemployment, youth ages 15-24: | male: 26% |
| Unemployment, youth ages 15-24: | female: 74% (2010 est.) |
