| People and Society | FIJI |
| --- | --- |
| Population: | 915,303 (July 2016 est.) |
| Nationality: | noun: Fijian(s) |
| Nationality: | adjective: Fijian |
| Ethnic groups: | iTaukei 56.8% (predominantly Melanesian with a Polynesian admixture), Indian 37.5%, Rotuman 1.2%, other 4.5% (European, part European, other Pacific Islanders, Chinese) |
| Ethnic groups: | note: a 2010 law replaces 'Fijian' with 'iTuakei' when referring to the original and native settlers of Fiji (2007 est.) |
| Languages: | English (official), Fijian (official), Hindustani |
| Religions: | Protestant 45% (Methodist 34.6%, Assembly of God 5.7%, Seventh Day Adventist 3.9%, and Anglican 0.8%), Hindu 27.9%, other Christian 10.4%, Roman Catholic 9.1%, Muslim 6.3%, Sikh 0.3%, other 0.3%, none 0.8% (2007 est.) |
| Age structure: | 0-14 years: 27.88% (male 130,414/female 124,774) |
| Age structure: | 15-24 years: 16.42% (male 76,709/female 73,565) |
| Age structure: | 25-54 years: 41.11% (male 192,605/female 183,681) |
| Age structure: | 55-64 years: 8.29% (male 38,427/female 37,412) |
| Age structure: | 65 years and over: 6.31% (male 26,534/female 31,182) (2016 est.) |
| Dependency ratios: | total dependency ratio: 52.8% |
| Dependency ratios: | youth dependency ratio: 43.9% |
| Dependency ratios: | elderly dependency ratio: 8.9% |
| Dependency ratios: | potential support ratio: 11.2% (2015 est.) |
| Median age: | total: 28.6 years |
| Median age: | male: 28.4 years |
| Median age: | female: 28.8 years (2016 est.) |
| Population growth rate: | 0.63% (2016 est.) |
| Birth rate: | 19 births/1,000 population (2016 est.) |
| Death rate: | 6.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -6.6 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 53.7% of total population (2015) |
| Urbanization: | rate of urbanization: 1.45% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SUVA (capital) 176,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.7 deaths/1,000 live births |
| Infant mortality rate: | male: 10.7 deaths/1,000 live births |
| Infant mortality rate: | female: 8.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 72.7 years |
| Life expectancy at birth: | male: 70 years |
| Life expectancy at birth: | female: 75.5 years (2016 est.) |
| Total fertility rate: | 2.44 children born/woman (2016 est.) |
| Health expenditures: | 4.5% of GDP (2014) |
| Physicians density: | 0.43 physicians/1,000 population (2009) |
| Hospital bed density: | 2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 91.2% of population |
| Drinking water source: | total: 95.7% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 8.8% of population |
| unimproved: | total: 4.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.4% of population |
| Sanitation facility access: | rural: 88.4% of population |
| Sanitation facility access: | total: 91.1% of population |
| unimproved: | urban: 6.6% of population |
| unimproved: | rural: 11.6% of population |
| unimproved: | total: 8.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.13% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 700 (2014 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2014 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 35.9% (2014) |
| Education expenditures: | 3.9% of GDP (2013) |
| Unemployment, youth ages 15-24: | total: 18.7% |
| Unemployment, youth ages 15-24: | male: 14.8% |
| Unemployment, youth ages 15-24: | female: 25.4% (2007 est.) |
