| People and Society | GUINEA |
| --- | --- |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | Peuhl 40%, Malinke 30%, Soussou 20%, smaller ethnic groups 10% |
| Languages: | French (official) |
| Languages: | note: each ethnic group has its own language |
| Religions: | Muslim 85%, Christian 8%, indigenous beliefs 7% |
| Population: | 11,780,162 (July 2015 est.) |
| Age structure: | 0-14 years: 41.87% (male 2,491,593/female 2,440,933) |
| Age structure: | 15-24 years: 19.6% (male 1,165,462/female 1,143,022) |
| Age structure: | 25-54 years: 30.46% (male 1,799,050/female 1,789,062) |
| Age structure: | 55-64 years: 4.45% (male 250,531/female 273,756) |
| Age structure: | 65 years and over: 3.62% (male 188,469/female 238,284) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.8% |
| population pyramid: | youth dependency ratio: 78.2% |
| population pyramid: | elderly dependency ratio: 5.6% |
| population pyramid: | potential support ratio: 17.8% (2015 est.) |
| Median age: | total: 18.8 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19 years (2015 est.) |
| Population growth rate: | 2.63% (2015 est.) |
| Birth rate: | 35.74 births/1,000 population (2015 est.) |
| Death rate: | 9.46 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 37.2% of total population (2015) |
| Urbanization: | rate of urbanization: 3.82% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CONAKRY (capital) 1.936 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 53.43 deaths/1,000 live births |
| Infant mortality rate: | male: 56.26 deaths/1,000 live births |
| Infant mortality rate: | female: 50.52 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 60.08 years |
| Life expectancy at birth: | male: 58.55 years |
| Life expectancy at birth: | female: 61.66 years (2015 est.) |
| Total fertility rate: | 4.88 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 5.6% (2012) |
| Health expenditures: | 4.7% of GDP (2013) |
| Physicians density: | 0.1 physicians/1,000 population (2005) |
| Hospital bed density: | 0.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.7% of population |
| Drinking water source: | rural: 67.4% of population |
| Drinking water source: | total: 76.8% of population |
| unimproved: | urban: 7.3% of population |
| unimproved: | rural: 32.6% of population |
| unimproved: | total: 23.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 34.1% of population |
| Sanitation facility access: | rural: 11.8% of population |
| Sanitation facility access: | total: 20.1% of population |
| unimproved: | urban: 65.9% of population |
| unimproved: | rural: 88.2% of population |
| unimproved: | total: 79.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.55% (2014) |
| HIV/AIDS - people living with HIV/AIDS: | 118,000 (2014 est.) |
| HIV/AIDS - deaths: | 3,800 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5.9% (2014) |
| Children under the age of 5 years underweight: | 18.7% (2012) |
| Education expenditures: | 2.5% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 30.4% |
| Literacy: | male: 38.1% |
| Literacy: | female: 22.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2011) |
| Child labor - children ages 5-14: | total number: 571,774 |
| Child labor - children ages 5-14: | percentage: 25% (2003 est.) |
