| People and Society | Kiribati |
| --- | --- |
| Nationality: | noun: I-Kiribati (singular and plural) |
| Nationality: | adjective: I-Kiribati |
| Ethnic groups: | I-Kiribati 89.5%, I-Kiribati/mixed 9.7%, Tuvaluan 0.1%, other 0.8% (2010 est.) |
| Languages: | I-Kiribati, English (official) |
| Religions: | Roman Catholic 55.8%, Kempsville Presbyterian Church 33.5%, Mormon 4.7%, Baha'i 2.3%, Seventh-Day Adventist 2%, other 1.5%, none 0.2%, unspecified 0.05% (2010 est.) |
| Population: | 104,488 (July 2014 est.) |
| Age structure: | 0-14 years: 31.5% (male 16,779/female 16,151) |
| Age structure: | 15-24 years: 21.3% (male 11,099/female 11,122) |
| Age structure: | 25-54 years: 37.8% (male 18,978/female 20,477) |
| Age structure: | 55-64 years: 5.5% (male 2,605/female 3,137) |
| Age structure: | 65 years and over: 3.9% (male 1,630/female 2,510) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55.3 % |
| population pyramid: | youth dependency ratio: 48.7 % |
| population pyramid: | elderly dependency ratio: 6.6 % |
| population pyramid: | potential support ratio: 15.2 (2014 est.) |
| Median age: | total: 23.6 years |
| Median age: | male: 22.7 years |
| Median age: | female: 24.4 years (2014 est.) |
| Population growth rate: | 1.18% (2014 est.) |
| Birth rate: | 21.85 births/1,000 population (2014 est.) |
| Death rate: | 7.18 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2.86 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 43.9% of total population (2011) |
| Urbanization: | rate of urbanization: 1.83% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TARAWA (capital) 44,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 23.1 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2009 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 35.37 deaths/1,000 live births |
| Infant mortality rate: | male: 36.59 deaths/1,000 live births |
| Infant mortality rate: | female: 34.08 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 65.47 years |
| Life expectancy at birth: | male: 63.03 years |
| Life expectancy at birth: | female: 68.02 years (2014 est.) |
| Total fertility rate: | 2.56 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 22.3% (2009) |
| Health expenditures: | 10.1% of GDP (2011) |
| Physicians density: | 0.38 physicians/1,000 population (2010) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87.4% of population |
| Drinking water source: | rural: 50.6% of population |
| Drinking water source: | total: 66.8% of population |
| unimproved: | urban: 12.6% of population |
| unimproved: | rural: 49.4% of population |
| unimproved: | total: 33.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51.2% of population |
| Sanitation facility access: | rural: 30.6% of population |
| Sanitation facility access: | total: 39.7% of population |
| unimproved: | urban: 48.8% of population |
| unimproved: | rural: 69.4% of population |
| unimproved: | total: 60.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 46% (2008) |
| Education expenditures: | 12% of GDP (2001) |
| Literacy: | NA |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2008) |
