| People | Bangladesh |
| --- | --- |
| Population: | 153,546,896 (July 2008 est.) |
| Age structure: | 0-14 years: 33.4% (male 26,364,370/female 24,859,792) |
| Age structure: | 15-64 years: 63.1% (male 49,412,903/female 47,468,013) |
| Age structure: | 65 years and over: 3.5% (male 2,912,321/female 2,529,502) (2008 est.) |
| Median age: | total: 22.8 years |
| Median age: | male: 22.8 years |
| Median age: | female: 22.9 years (2008 est.) |
| Population growth rate: | 2.022% (2008 est.) |
| Birth rate: | 28.86 births/1,000 population (2008 est.) |
| Death rate: | 8 deaths/1,000 population (2008 est.) |
| Net migration rate: | -0.65 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 1.15 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 57.45 deaths/1,000 live births |
| Infant mortality rate: | male: 58.44 deaths/1,000 live births |
| Infant mortality rate: | female: 56.41 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 63.21 years |
| Life expectancy at birth: | male: 63.14 years |
| Life expectancy at birth: | female: 63.28 years (2008 est.) |
| Total fertility rate: | 3.08 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2001 est.) |
| HIV/AIDS - deaths: | 650 (2001 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali 98%, other 2% (includes tribal groups, non-Bengali Muslims) (1998) |
| Religions: | Muslim 83%, Hindu 16%, other 1% (1998) |
| Languages: | Bangla (official, also known as Bengali), English |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43.1% |
| Literacy: | male: 53.9% |
| Literacy: | female: 31.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2004) |
| Education expenditures: | 2.7% of GDP (2005) |
