| People and Society | Bangladesh |
| --- | --- |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali 98%, other 2% (includes tribal groups, non-Bengali Muslims) (1998) |
| Languages: | Bangla (official, also known as Bengali), English |
| Religions: | Muslim 89.5%, Hindu 9.6%, other 0.9% (2004) |
| Population: | 158,570,535 (July 2011 est.) |
| Age structure: | 0-14 years: 34.3% (male 27,551,594/female 26,776,647) |
| Age structure: | 15-64 years: 61.1% (male 45,956,431/female 50,891,519) |
| Age structure: | 65 years and over: 4.7% (male 3,616,225/female 3,778,119) (2011 est.) |
| Median age: | total: 23.3 years |
| Median age: | male: 22.7 years |
| Median age: | female: 23.7 years (2011 est.) |
| Population growth rate: | 1.566% (2011 est.) |
| Birth rate: | 22.98 births/1,000 population (2011 est.) |
| Death rate: | 5.75 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -1.57 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 28% of total population (2010) |
| Urbanization: | rate of urbanization: 3.1% annual rate of change (2010-15 est.) |
| Major cities - population: | DHAKA (capital) 14.251 million; Chittagong 4.816 million; Khulna 1.636 million; Rajshahi 853,000 (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Maternal mortality rate: | 340 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 50.73 deaths/1,000 live births |
| Infant mortality rate: | male: 53.23 deaths/1,000 live births |
| Infant mortality rate: | female: 48.13 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 69.75 years |
| Life expectancy at birth: | male: 67.93 years |
| Life expectancy at birth: | female: 71.65 years (2011 est.) |
| Total fertility rate: | 2.6 children born/woman (2011 est.) |
| Health expenditures: | 3.4% of GDP (2009) |
| Physicians density: | 0.295 physicians/1,000 population (2007) |
| Hospital bed density: | 0.4 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85% of population |
| Drinking water source: | rural: 78% of population |
| Drinking water source: | total: 80% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 22% of population |
| unimproved: | total: 20% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 56% of population |
| Sanitation facility access: | rural: 52% of population |
| Sanitation facility access: | total: 53% of population |
| unimproved: | urban: 44% of population |
| unimproved: | rural: 48% of population |
| unimproved: | total: 47% of population (2008) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,300 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 41.3% (2007) |
| Education expenditures: | 2.4% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 47.9% |
| Literacy: | male: 54% |
| Literacy: | female: 41.4% (2001 Census) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2007) |
| Unemployment, youth ages 15-24: | total: 9.3% |
| Unemployment, youth ages 15-24: | male: 8% |
| Unemployment, youth ages 15-24: | female: 13.6% (2006) |
