| People and Society | SLOVAKIA |
| --- | --- |
| Population: | 5,445,802 (July 2016 est.) |
| Nationality: | noun: Slovak(s) |
| Nationality: | adjective: Slovak |
| Ethnic groups: | Slovak 80.7%, Hungarian 8.5%, Roma 2%, other and unspecified 8.8% (2011 est.) |
| Languages: | Slovak (official) 78.6%, Hungarian 9.4%, Roma 2.3%, Ruthenian 1%, other or unspecified 8.8% (2011 est.) |
| Religions: | Roman Catholic 62%, Protestant 8.2%, Greek Catholic 3.8%, other or unspecified 12.5%, none 13.4% (2011 est.) |
| Age structure: | 0-14 years: 15.14% (male 422,797/female 401,718) |
| Age structure: | 15-24 years: 11.32% (male 317,775/female 298,954) |
| Age structure: | 25-54 years: 45.13% (male 1,241,212/female 1,216,596) |
| Age structure: | 55-64 years: 13.52% (male 349,089/female 387,394) |
| Age structure: | 65 years and over: 14.88% (male 312,042/female 498,225) (2016 est.) |
| Dependency ratios: | total dependency ratio: 40.8% |
| Dependency ratios: | youth dependency ratio: 21.3% |
| Dependency ratios: | elderly dependency ratio: 19.5% |
| Dependency ratios: | potential support ratio: 5.1% (2015 est.) |
| Median age: | total: 40.1 years |
| Median age: | male: 38.4 years |
| Median age: | female: 41.9 years (2016 est.) |
| Population growth rate: | 0.01% (2016 est.) |
| Birth rate: | 9.8 births/1,000 population (2016 est.) |
| Death rate: | 9.8 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0.1 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | a fairly even distribution throughout most of the country; slightly larger concentration in the west in proximity to the Czech border |
| Urbanization: | urban population: 53.6% of total population (2015) |
| Urbanization: | rate of urbanization: -0.31% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRATISLAVA (capital) 401,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.4 (2013 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 5.2 deaths/1,000 live births |
| Infant mortality rate: | male: 5.8 deaths/1,000 live births |
| Infant mortality rate: | female: 4.5 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 77.1 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 80.9 years (2016 est.) |
| Total fertility rate: | 1.4 children born/woman (2016 est.) |
| Health expenditures: | 8.1% of GDP (2014) |
| Physicians density: | 3.32 physicians/1,000 population (2012) |
| Hospital bed density: | 6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.4% of population |
| Sanitation facility access: | rural: 98.2% of population |
| Sanitation facility access: | total: 98.8% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 1.8% of population |
| unimproved: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.02% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | less than 100 (2014 est.) |
| Obesity - adult prevalence rate: | 27.4% (2014) |
| Education expenditures: | 4.1% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 29.7% |
| Unemployment, youth ages 15-24: | male: 29.5% |
| Unemployment, youth ages 15-24: | female: 30.1% (2014 est.) |
