| People and Society | SLOVAKIA |
| --- | --- |
| Nationality: | noun: Slovak(s) |
| Nationality: | adjective: Slovak |
| Ethnic groups: | Slovak 80.7%, Hungarian 8.5%, Roma 2%, other and unspecified 8.8% (2011 est.) |
| Languages: | Slovak (official) 78.6%, Hungarian 9.4%, Roma 2.3%, Ruthenian 1%, other or unspecified 8.8% (2011 est.) |
| Religions: | Roman Catholic 62%, Protestant 8.2%, Greek Catholic 3.8%, other or unspecified 12.5%, none 13.4% (2011 est.) |
| Population: | 5,445,027 (July 2015 est.) |
| Age structure: | 0-14 years: 15.14% (male 422,297/female 402,154) |
| Age structure: | 15-24 years: 11.78% (male 330,116/female 311,144) |
| Age structure: | 25-54 years: 45.17% (male 1,241,594/female 1,217,885) |
| Age structure: | 55-64 years: 13.56% (male 349,304/female 388,904) |
| Age structure: | 65 years and over: 14.35% (male 299,097/female 482,532) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.8% |
| population pyramid: | youth dependency ratio: 21.3% |
| population pyramid: | elderly dependency ratio: 19.5% |
| population pyramid: | potential support ratio: 5.1% (2015 est.) |
| Median age: | total: 39.6 years |
| Median age: | male: 37.9 years |
| Median age: | female: 41.4 years (2015 est.) |
| Population growth rate: | 0.02% (2015 est.) |
| Birth rate: | 9.91 births/1,000 population (2015 est.) |
| Death rate: | 9.74 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.04 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 53.6% of total population (2015) |
| Urbanization: | rate of urbanization: -0.31% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRATISLAVA (capital) 401,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 5.27 deaths/1,000 live births |
| Infant mortality rate: | male: 5.91 deaths/1,000 live births |
| Infant mortality rate: | female: 4.58 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.88 years |
| Life expectancy at birth: | male: 73.3 years |
| Life expectancy at birth: | female: 80.71 years (2015 est.) |
| Total fertility rate: | 1.39 children born/woman (2015 est.) |
| Health expenditures: | 8.2% of GDP (2013) |
| Physicians density: | 3.32 physicians/1,000 population (2012) |
| Hospital bed density: | 6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.4% of population |
| Sanitation facility access: | rural: 98.2% of population |
| Sanitation facility access: | total: 98.8% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 1.8% of population |
| unimproved: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.02% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | less than 100 (2014 est.) |
| Obesity - adult prevalence rate: | 27.4% (2014) |
| Education expenditures: | 4.1% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2012) |
| Unemployment, youth ages 15-24: | total: 34% |
| Unemployment, youth ages 15-24: | male: 35% |
| Unemployment, youth ages 15-24: | female: 32.5% (2012 est.) |
