| People and Society | Gabon |
| --- | --- |
| Nationality: | noun: Gabonese (singular and plural) |
| Nationality: | adjective: Gabonese |
| Ethnic groups: | Bantu tribes, including four major tribal groupings (Fang, Bapounou, Nzebi, Obamba); other Africans and Europeans, 154,000, including 10,700 French and 11,000 persons of dual nationality |
| Languages: | French (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi |
| Religions: | Christian 55%-75%, animist, Muslim less than 1% |
| Population: | 1,672,597 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 42.1% (male 353,863/female 350,456) |
| Age structure: | 15-24 years: 20.3% (male 169,681/female 169,082) |
| Age structure: | 25-54 years: 29.7% (male 248,328/female 248,063) |
| Age structure: | 55-64 years: 4.2% (male 33,608/female 35,838) |
| Age structure: | 65 years and over: 3.8% (male 27,117/female 36,561) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 77 % |
| population pyramid: | youth dependency ratio: 68 % |
| population pyramid: | elderly dependency ratio: 9 % |
| population pyramid: | potential support ratio: 11.1 (2014 est.) |
| Median age: | total: 18.6 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.8 years (2014 est.) |
| Population growth rate: | 1.94% (2014 est.) |
| Birth rate: | 34.64 births/1,000 population (2014 est.) |
| Death rate: | 13.13 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2.07 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 86.2% of total population (2011) |
| Urbanization: | rate of urbanization: 2.27% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LIBREVILLE (capital) 686,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 20.3 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 230 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 47.03 deaths/1,000 live births |
| Infant mortality rate: | male: 54.27 deaths/1,000 live births |
| Infant mortality rate: | female: 39.57 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 52.06 years |
| Life expectancy at birth: | male: 51.54 years |
| Life expectancy at birth: | female: 52.6 years (2014 est.) |
| Total fertility rate: | 4.49 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 31.1% (2012) |
| Health expenditures: | 3.2% of GDP (2011) |
| Physicians density: | 0.29 physicians/1,000 population (2004) |
| Hospital bed density: | 6.3 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.8% of population |
| Drinking water source: | rural: 63% of population |
| Drinking water source: | total: 92.2% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 37% of population |
| unimproved: | total: 7.8% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 42.9% of population |
| Sanitation facility access: | rural: 32% of population |
| Sanitation facility access: | total: 41.4% of population |
| unimproved: | urban: 57.1% of population |
| unimproved: | rural: 68% of population |
| unimproved: | total: 58.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 4% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 40,700 (2012 est.) |
| HIV/AIDS - deaths: | 2,300 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 13.9% (2008) |
| Children under the age of 5 years underweight: | 6.5% (2012) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89% |
| Literacy: | male: 92.3% |
| Literacy: | female: 85.6% (2011 est.) |
