| People and Society | Gabon |
| --- | --- |
| Population: | 2,230,908 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Gabonese (singular and plural) |
| Nationality: | adjective: Gabonese |
| Ethnic groups: | Gabonese-born 80.1% (includes Fang 23.2%, Shira-Punu/Vili 18.9%, Nzabi-Duma 11.3%, Mbede-Teke 6.9%, Myene 5%, Kota-Kele 4.9%, Okande-Tsogo 2.1%, Pygmy .3%, other 7.5%), Cameroonian 4.6%, Malian 2.4%, Beninese 2.1%, acquired Gabonese nationality 1.6%, Togolese 1.6%, Senegalese 1.1%, Congolese (Brazzaville) 1%, other 5.5% (includes Congolese (Kinshasa), Equatorial Guinean, Nigerian) (2012) |
| Languages: | French (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi |
| Religions: | Roman Catholic 42.3%, Protestant 12.3%, other Christian 27.4%, Muslim 9.8%, animist 0.6%, other 0.5%, none/no answer 7.1% (2012 est.) |
| Demographic profile: | Gabonâ€™s oil revenues have given it one of the highest per capita income levels in Sub-Saharan Africa, but the wealth is not evenly distributed and poverty is widespread. Unemployment is especially prevalent among the large youth population; more than 60% of the population is under the age of 25. With a fertility rate still averaging more than 4 children per woman, the youth population will continue to grow and further strain the mismatch between Gabonâ€™s supply of jobs and the skills of its labor force. |
| Demographic profile: | Gabon has been a magnet to migrants from neighboring countries since the 1960s because of the discovery of oil, as well as the countryâ€™s political stability and timber, mineral, and natural gas resources. Nonetheless, income inequality and high unemployment have created slums in Libreville full of migrant workers from Senegal, Nigeria, Cameroon, Benin, Togo, and elsewhere in West Africa. In 2011, Gabon declared an end to refugee status for 9,500 remaining Congolese nationals to whom it had granted asylum during the Republic of the Congoâ€™s civil war between 1997 and 2003. About 5,400 of these refugees received permits to reside in Gabon. |
| Age structure: | 0-14 years: 36.45% (male 413,883/female 399,374) |
| Age structure: | 15-24 years: 21.9% (male 254,749/female 233,770) |
| Age structure: | 25-54 years: 32.48% (male 386,903/female 337,776) |
| Age structure: | 55-64 years: 5.19% (male 58,861/female 56,843) |
| Age structure: | 65 years and over: 3.98% (male 44,368/female 44,381) (2020 est.) |
| Dependency ratios: | total dependency ratio: 68.9 |
| Dependency ratios: | youth dependency ratio: 62.9 |
| Dependency ratios: | elderly dependency ratio: 6 |
| Dependency ratios: | potential support ratio: 16.8 (2020 est.) |
| Median age: | total: 21 years |
| Median age: | male: 21.4 years |
| Median age: | female: 20.6 years (2020 est.) |
| Population growth rate: | 2.5% (2020 est.) |
| Birth rate: | 26.3 births/1,000 population (2020 est.) |
| Death rate: | 5.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | 3.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the relatively small population is spread in pockets throughout the country; the largest urban center is the capital of Libreville, located along the Atlantic coast in the northwest as shown in this population distribution map |
| Urbanization: | urban population: 90.1% of total population (2020) |
| Urbanization: | rate of urbanization: 2.61% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 834,000 LIBREVILLE (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 1.15 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20.3 years (2012 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 252 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 30.4 deaths/1,000 live births |
| Infant mortality rate: | male: 33.6 deaths/1,000 live births |
| Infant mortality rate: | female: 27 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 69 years |
| Life expectancy at birth: | male: 67.3 years |
| Life expectancy at birth: | female: 70.8 years (2020 est.) |
| Total fertility rate: | 3.41 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 31.1% (2012) |
| Drinking water source: | improved: urban: 97% of population |
| Drinking water source: | rural: 68% of population |
| Drinking water source: | total: 93.8% of population |
| Drinking water source: | unimproved: urban: 0.3% of population |
| Drinking water source: | rural: 32% of population |
| Drinking water source: | total: 6.2% of population (2017 est.) |
