| People and Society | Gabon |
| --- | --- |
| Population: | 2,119,036 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Gabonese (singular and plural) |
| Nationality: | adjective: Gabonese |
| Ethnic groups: | Gabonese-born 80.1% (includes Fang 23.2%, Shira-Punu/Vili 18.9%, Nzabi-Duma 11.3%, Mbede-Teke 6.9%, Myene 5%, Kota-Kele 4.9%, Okande-Tsogo 2.1%, Pygmy .3%, other 7.5%), Cameroonian 4.6%, Malian 2.4%, Beninese 2.1%, acquired Gabonese nationality 1.6%, Togolese 1.6%, Senegalese 1.1%, Congolese (Brazzaville) 1%, other 5.5% (includes Congolese (Kinshasa), Equatorial Guinean, Nigerian) (2012) |
| Languages: | French (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi |
| Religions: | Roman Catholic 42.3%, Protestant 12.3%, other Christian 27.4%, Muslim 9.8%, animist 0.6%, other 0.5%, none/no answer 7.1% (2012 est.) |
| Demographic profile: | Gabonâ€™s oil revenues have given it one of the highest per capita income levels in sub-Saharan Africa, but the wealth is not evenly distributed and poverty is widespread. Unemployment is especially prevalent among the large youth population; more than 60% of the population is under the age of 25. With a fertility rate still averaging more than 4 children per woman, the youth population will continue to grow and further strain the mismatch between Gabonâ€™s supply of jobs and the skills of its labor force. |
| Demographic profile: | Gabon has been a magnet to migrants from neighboring countries since the 1960s because of the discovery of oil, as well as the countryâ€™s political stability and timber, mineral, and natural gas resources. Nonetheless, income inequality and high unemployment have created slums in Libreville full of migrant workers from Senegal, Nigeria, Cameroon, Benin, Togo, and elsewhere in West Africa. In 2011, Gabon declared an end to refugee status for 9,500 remaining Congolese nationals to whom it had granted asylum during the Republic of the Congoâ€™s civil war between 1997 and 2003. About 5,400 of these refugees received permits to reside in Gabon. |
| Age structure: | 0-14 years: 37.45% (male 405,676 /female 387,900) |
| Age structure: | 15-24 years: 22.08% (male 245,490 /female 222,343) |
| Age structure: | 25-54 years: 31.6% (male 355,348 /female 314,344) |
| Age structure: | 55-64 years: 4.96% (male 54,679 /female 50,356) |
| Age structure: | 65 years and over: 3.91% (male 40,721 /female 42,179) (2018 est.) |
| Dependency ratios: | total dependency ratio: 67.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 59.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 13.2 (2015 est.) |
| Median age: | total: 20.5 years (2018 est.) |
| Median age: | male: 20.8 years |
| Median age: | female: 20.2 years |
| Population growth rate: | 2.73% (2018 est.) |
| Birth rate: | 26.5 births/1,000 population (2018 est.) |
| Death rate: | 6.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | 7 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the relatively small population is spread in pockets throughout the country; the largest urban center is the capital of Libreville, located along the Atlantic coast in the northwest |
| Urbanization: | urban population: 89.7% of total population (2019) |
| Urbanization: | rate of urbanization: 2.61% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 824,000 LIBREVILLE (capital) (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 1.13 male(s)/female |
| Sex ratio: | 55-64 years: 1.09 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 20.3 years (2012 est.) |
