| People and Society | CONGO, REPUBLIC OF THE |
| --- | --- |
| Population: | 4,852,412 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans and other 3% |
| Languages: | French (official), Lingala and Monokutuba (lingua franca trade languages), many local languages and dialects (of which Kikongo is the most widespread) |
| Religions: | Roman Catholic 33.1%, Awakening Churches/Christian Revival 22.3%, Protestant 19.9%, Salutiste 2.2%, Muslim 1.6%, Kimbanguiste 1.5%, other 8.1%, none 11.3% (2010 est.) |
| Age structure: | 0-14 years: 41.53% (male 1,016,677/female 998,331) |
| Age structure: | 15-24 years: 17.26% (male 419,248/female 418,397) |
| Age structure: | 25-54 years: 34% (male 831,091/female 818,853) |
| Age structure: | 55-64 years: 4.18% (male 101,118/female 101,879) |
| Age structure: | 65 years and over: 3.03% (male 64,519/female 82,299) (2016 est.) |
| Dependency ratios: | total dependency ratio: 86.2% |
| Dependency ratios: | youth dependency ratio: 79.4% |
| Dependency ratios: | elderly dependency ratio: 6.8% |
| Dependency ratios: | potential support ratio: 14.7% (2015 est.) |
| Median age: | total: 19.7 years |
| Median age: | male: 19.6 years |
| Median age: | female: 19.9 years (2016 est.) |
| Population growth rate: | 2.06% (2016 est.) |
| Birth rate: | 35.1 births/1,000 population (2016 est.) |
| Death rate: | 9.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | -4.8 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 65.4% of total population (2015) |
| Urbanization: | rate of urbanization: 3.22% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRAZZAVILLE (capital) 1.888 million; Pointe-Noire 969,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011/12 est.) |
| Maternal mortality rate: | 442 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 56.4 deaths/1,000 live births |
| Infant mortality rate: | male: 61.4 deaths/1,000 live births |
| Infant mortality rate: | female: 51.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 59.3 years |
| Life expectancy at birth: | male: 58.1 years |
| Life expectancy at birth: | female: 60.6 years (2016 est.) |
| Total fertility rate: | 4.63 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 44.7% (2011/12) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.1 physicians/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.8% of population |
| Drinking water source: | rural: 40% of population |
| Drinking water source: | total: 76.5% of population |
| unimproved: | urban: 4.2% of population |
| unimproved: | rural: 60% of population |
| unimproved: | total: 23.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 20% of population |
| Sanitation facility access: | rural: 5.6% of population |
| Sanitation facility access: | total: 15% of population |
| unimproved: | urban: 80% of population |
| unimproved: | rural: 94.4% of population |
| unimproved: | total: 85% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.75% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 80,700 (2014 est.) |
| HIV/AIDS - deaths: | 4,400 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and dengue fever |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 9.7% (2014) |
| Children under the age of 5 years underweight: | 12.3% (2015) |
| Education expenditures: | 6.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 79.3% |
| Literacy: | male: 86.4% |
| Literacy: | female: 72.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2012) |
| Child labor - children ages 5-14: | total number: 252,171 |
| Child labor - children ages 5-14: | percentage: 25% (2005 est.) |
