| People and Society | Portugal |
| --- | --- |
| Population: | 10,355,493 (July 2018 est.) |
| Nationality: | noun: Portuguese (singular and plural) |
| Nationality: | adjective: Portuguese |
| Ethnic groups: | white homogeneous Mediterranean population; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990, Eastern Europeans have migrated to Portugal |
| Languages: | Portuguese (official), Mirandese (official, but locally used) |
| Religions: | Roman Catholic 81%, other Christian 3.3%, other (includes Jewish, Muslim) 0.6%, none 6.8%, unspecified 8.3% (2011 est.) |
| Religions: | note: represents population 15 years of age and older |
| Age structure: | 0-14 years: 14.01% (male 743,277 /female 707,437) |
| Age structure: | 15-24 years: 10.89% (male 580,709 /female 546,908) |
| Age structure: | 25-54 years: 42.04% (male 2,143,735 /female 2,209,736) |
| Age structure: | 55-64 years: 12.8% (male 605,113 /female 720,192) |
| Age structure: | 65 years and over: 20.26% (male 838,606 /female 1,259,780) (2018 est.) |
| Dependency ratios: | total dependency ratio: 53.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 31.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.1 (2015 est.) |
| Median age: | total: 43.7 years (2018 est.) |
| Median age: | male: 41.8 years |
| Median age: | female: 45.6 years |
| Population growth rate: | -0.27% (2018 est.) |
| Birth rate: | 8.2 births/1,000 population (2018 est.) |
| Death rate: | 10.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | concentrations are primarily along or near the Atlantic coast; both Lisbon and the second largest city, Porto, are coastal cities |
| Urbanization: | urban population: 65.8% of total population (2019) |
| Urbanization: | rate of urbanization: 0.47% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.942 million LISBON (capital), 1.31 million Porto (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 30.2 years (2015 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 2.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3 deaths/1,000 live births |
| Infant mortality rate: | female: 2.2 deaths/1,000 live births |
| Life expectancy at birth: | total population: 80.9 years (2018 est.) |
| Life expectancy at birth: | male: 77.7 years |
| Life expectancy at birth: | female: 84.2 years |
| Total fertility rate: | 1.39 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 73.9% (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 9.1% (2016) |
| Physicians density: | 3.34 physicians/1,000 population (2016) |
| Hospital bed density: | 3.4 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 99.6% of population (2015 est.) |
| Sanitation facility access: | rural: 99.8% of population (2015 est.) |
| Sanitation facility access: | total: 99.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.4% of population (2015 est.) |
| Sanitation facility access: | rural: 0.2% of population (2015 est.) |
| Sanitation facility access: | total: 0.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 41,000 (2018 est.) |
| HIV/AIDS - deaths: | <500 (2018 est.) |
| Obesity - adult prevalence rate: | 20.8% (2016) |
| Education expenditures: | 4.9% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 97.1% |
| Literacy: | female: 94.4% (2015) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2016) |
| Unemployment, youth ages 15-24: | total: 23.9% |
| Unemployment, youth ages 15-24: | male: 22.4% |
| Unemployment, youth ages 15-24: | female: 25.5% (2017 est.) |
