| People and Society | Portugal |
| --- | --- |
| Nationality: | noun: Portuguese (singular and plural) |
| Nationality: | adjective: Portuguese |
| Ethnic groups: | homogeneous Mediterranean stock; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990 East Europeans have entered Portugal |
| Languages: | Portuguese (official), Mirandese (official, but locally used) |
| Religions: | Roman Catholic 81%, other Christian 3.3%, other (includes Jewish, Muslim, other) 0.6%, none 6.8%, unspecified 8.3% |
| Religions: | notes: represents population 15 years of age and older (2011 est.) |
| Population: | 10,813,834 (July 2014 est.) |
| Age structure: | 0-14 years: 15.9% (male 893,902/female 821,062) |
| Age structure: | 15-24 years: 11.4% (male 654,102/female 579,440) |
| Age structure: | 25-54 years: 42.2% (male 2,304,503/female 2,260,556) |
| Age structure: | 55-64 years: 11.9% (male 599,380/female 685,279) |
| Age structure: | 65 years and over: 18.4% (male 824,062/female 1,191,548) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.8 % |
| population pyramid: | youth dependency ratio: 22.1 % |
| population pyramid: | elderly dependency ratio: 28.7 % |
| population pyramid: | potential support ratio: 3.5 (2014 est.) |
| Median age: | total: 41.1 years |
| Median age: | male: 39 years |
| Median age: | female: 43.3 years (2014 est.) |
| Population growth rate: | 0.12% (2014 est.) |
| Birth rate: | 9.42 births/1,000 population (2014 est.) |
| Death rate: | 10.97 deaths/1,000 population (2014 est.) |
| Net migration rate: | 2.74 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 61.1% of total population (2011) |
| Urbanization: | rate of urbanization: 0.91% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LISBON (capital) 2.843 million; Porto 1.367 million (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 29.2 (2011 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.48 deaths/1,000 live births |
| Infant mortality rate: | male: 4.92 deaths/1,000 live births |
| Infant mortality rate: | female: 4.02 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 79.01 years |
| Life expectancy at birth: | male: 75.76 years |
| Life expectancy at birth: | female: 82.47 years (2014 est.) |
| Total fertility rate: | 1.52 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 86.8% (2005/06) |
| Health expenditures: | 10.4% of GDP (2011) |
| Physicians density: | 3.76 physicians/1,000 population (2009) |
| Hospital bed density: | 3.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.8% of population |
| Drinking water source: | rural: 99.9% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0.2% of population |
| unimproved: | rural: 0.1% of population |
| unimproved: | total: 0.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 42,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 24% (2008) |
| Education expenditures: | 5.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.4% |
| Literacy: | male: 97% |
| Literacy: | female: 94% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2010) |
| Child labor - children ages 5-14: | total number: 36,569 |
| Child labor - children ages 5-14: | percentage: 3 % |
| Child labor - children ages 5-14: | note: data represents children ages 6-14 (2001 est.) |
| Unemployment, youth ages 15-24: | total: 37.6% |
| Unemployment, youth ages 15-24: | male: 36.4% |
| Unemployment, youth ages 15-24: | female: 39.1% (2012) |
