| People and Society | PORTUGAL |
| --- | --- |
| Population: | 10,833,816 (July 2016 est.) |
| Nationality: | noun: Portuguese (singular and plural) |
| Nationality: | adjective: Portuguese |
| Ethnic groups: | homogeneous Mediterranean stock; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990 East Europeans have entered Portugal |
| Languages: | Portuguese (official), Mirandese (official, but locally used) |
| Religions: | Roman Catholic 81%, other Christian 3.3%, other (includes Jewish, Muslim, other) 0.6%, none 6.8%, unspecified 8.3% |
| Religions: | note: represents population 15 years of age and older (2011 est.) |
| Age structure: | 0-14 years: 15.5% (male 874,807/female 804,483) |
| Age structure: | 15-24 years: 11.4% (male 655,234/female 579,669) |
| Age structure: | 25-54 years: 41.88% (male 2,300,872/female 2,236,077) |
| Age structure: | 55-64 years: 12.07% (male 610,886/female 697,287) |
| Age structure: | 65 years and over: 19.15% (male 849,506/female 1,224,995) (2016 est.) |
| Dependency ratios: | total dependency ratio: 53.5% |
| Dependency ratios: | youth dependency ratio: 21.6% |
| Dependency ratios: | elderly dependency ratio: 31.9% |
| Dependency ratios: | potential support ratio: 3.1% (2015 est.) |
| Median age: | total: 41.8 years |
| Median age: | male: 39.8 years |
| Median age: | female: 44 years (2016 est.) |
| Population growth rate: | 0.07% (2016 est.) |
| Birth rate: | 9.1 births/1,000 population (2016 est.) |
| Death rate: | 11.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | 2.6 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | concentrations are primarily along or near the Atlantic coast; both Lisbon and the second largest city, Porto, are coastal cities |
| Urbanization: | urban population: 63.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.97% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LISBON (capital) 2.884 million; Porto 1.299 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.13 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29.5 (2012 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4.4 deaths/1,000 live births |
| Infant mortality rate: | male: 4.8 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 79.3 years |
| Life expectancy at birth: | male: 76.1 years |
| Life expectancy at birth: | female: 82.8 years (2016 est.) |
| Total fertility rate: | 1.53 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 86.8% (2005/06) |
| Health expenditures: | 9.5% of GDP (2014) |
| Physicians density: | 4.1 physicians/1,000 population (2012) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.6% of population |
| Sanitation facility access: | rural: 99.8% of population |
| Sanitation facility access: | total: 99.7% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.1% (2014) |
| Education expenditures: | 5.1% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 97.1% |
| Literacy: | female: 94.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2014) |
| Unemployment, youth ages 15-24: | total: 34.8% |
| Unemployment, youth ages 15-24: | male: 34.2% |
| Unemployment, youth ages 15-24: | female: 35.4% (2014 est.) |
