| People and Society | Oman |
| --- | --- |
| Nationality: | noun: Omani(s) |
| Nationality: | adjective: Omani |
| Ethnic groups: | Arab, Baluchi, South Asian (Indian, Pakistani, Sri Lankan, Bangladeshi), African |
| Languages: | Arabic (official), English, Baluchi, Urdu, Indian dialects |
| Religions: | Ibadhi Muslim (official) 75%, other (includes Sunni Muslim, Shia Muslim, Hindu) 25% |
| Population: | 3,154,134 (July 2013 est.) |
| Population: | note: includes 577,293 non-nationals |
| Age structure: | 0-14 years: 30.6% (male 494,444/female 469,752) |
| Age structure: | 15-24 years: 20.2% (male 333,583/female 302,618) |
| Age structure: | 25-54 years: 42.1% (male 781,396/female 547,872) |
| Age structure: | 55-64 years: 3.9% (male 65,722/female 56,673) |
| Age structure: | 65 years and over: 3.2% (male 51,515/female 50,559) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 35.7 % |
| population pyramid: | youth dependency ratio: 31.9 % |
| population pyramid: | elderly dependency ratio: 3.8 % |
| population pyramid: | potential support ratio: 26.2 (2013) |
| Median age: | total: 24.7 years |
| Median age: | male: 25.9 years |
| Median age: | female: 23.1 years (2013 est.) |
| Population growth rate: | 2.06% (2013 est.) |
| Birth rate: | 24.43 births/1,000 population (2013 est.) |
| Death rate: | 3.4 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.47 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 73.4% of total population (2011) |
| Urbanization: | rate of urbanization: 2.23% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MUSCAT (capital) 634,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 1.45 male(s)/female |
| Sex ratio: | 55-64 years: 1.17 male(s)/female |
| Sex ratio: | 65 years and over: 1.03 male(s)/female |
| Sex ratio: | total population: 1.22 male(s)/female (2013 est.) |
| Maternal mortality rate: | 32 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 14.46 deaths/1,000 live births |
| Infant mortality rate: | male: 14.76 deaths/1,000 live births |
| Infant mortality rate: | female: 14.15 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 74.72 years |
| Life expectancy at birth: | male: 72.84 years |
| Life expectancy at birth: | female: 76.7 years (2013 est.) |
| Total fertility rate: | 2.86 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 31.7% (2000) |
| Health expenditures: | 2.3% of GDP (2011) |
| Physicians density: | 2.05 physicians/1,000 population (2010) |
| Hospital bed density: | 1.8 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 78% of population |
| Drinking water source: | total: 89% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 22% of population |
| unimproved: | total: 11% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 95% of population |
| Sanitation facility access: | total: 99% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 1% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,100 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 20.9% (2008) |
| Children under the age of 5 years underweight: | 8.6% (2009) |
| Education expenditures: | 4.3% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.9% |
| Literacy: | male: 90.2% |
| Literacy: | female: 81.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
