| People and Society | OMAN |
| --- | --- |
| Population: | 3,424,386 (July 2017 est.) |
| Population: | note: immigrants make up over 40% of the total population, according to UN data (2015) |
| Nationality: | noun: Omani(s) |
| Nationality: | adjective: Omani |
| Ethnic groups: | Arab, Baluchi, South Asian (Indian, Pakistani, Sri Lankan, Bangladeshi), African |
| Languages: | Arabic (official), English, Baluchi, Urdu, Indian dialects |
| Religions: | Muslim 85.9%, Christian 6.5%, Hindu 5.5%, Buddhist 0.8%, Jewish <0.1%, other 1%, unaffiliated 0.2% (2010 est.) |
| Religions: | note: Omani citizens represent approximately 60% of the population and are overwhelming Muslim (Ibadhi and Sunni sects each constitute about 45% and Shia about 5%); Christians, Hindus, and Buddhists accounting for roughly 5% of Omani citizens |
| Age structure: | 0-14 years: 30.1% (male 528,554/female 502,272) |
| Age structure: | 15-24 years: 18.69% (male 335,764/female 304,207) |
| Age structure: | 25-54 years: 43.8% (male 864,858/female 635,006) |
| Age structure: | 55-64 years: 3.92% (male 71,477/female 62,793) |
| Age structure: | 65 years and over: 3.49% (male 58,561/female 60,894) (2017 est.) |
| Dependency ratios: | total dependency ratio: 32.4 |
| Dependency ratios: | youth dependency ratio: 29.4 |
| Dependency ratios: | elderly dependency ratio: 3.1 |
| Dependency ratios: | potential support ratio: 32.6 (2015 est.) |
| Median age: | total: 25.6 years |
| Median age: | male: 26.6 years |
| Median age: | female: 24.2 years (2017 est.) |
| Population growth rate: | 2.03% (2017 est.) |
| Birth rate: | 24 births/1,000 population (2017 est.) |
| Death rate: | 3.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of the population is located in and around the Al Hagar Mountains in the north of the country; another smaller cluster is found around the city of Salalah in the far south; most of the country remains sparsely poplulated |
| Urbanization: | urban population: 78.5% of total population (2017) |
| Urbanization: | rate of urbanization: 2.17% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MUSCAT (capital) 838,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 1.38 male(s)/female |
| Sex ratio: | 55-64 years: 1.14 male(s)/female |
| Sex ratio: | 65 years and over: 0.99 male(s)/female |
| Sex ratio: | total population: 1.19 male(s)/female (2016 est.) |
| Maternal mortality rate: | 17 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.8 deaths/1,000 live births |
| Infant mortality rate: | male: 13.1 deaths/1,000 live births |
| Infant mortality rate: | female: 12.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.7 years |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 77.7 years (2017 est.) |
| Total fertility rate: | 2.82 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 29.7% (2014) |
| Health expenditures: | 3.6% of GDP (2014) |
| Physicians density: | 1.54 physicians/1,000 population (2014) |
| Hospital bed density: | 1.7 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.5% of population |
| Drinking water source: | rural: 86.1% of population |
| Drinking water source: | total: 93.4% of population |
| unimproved: | urban: 4.5% of population |
| unimproved: | rural: 13.9% of population |
| unimproved: | total: 6.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.3% of population |
| Sanitation facility access: | rural: 94.7% of population |
| Sanitation facility access: | total: 96.7% of population |
| unimproved: | urban: 2.7% of population |
| unimproved: | rural: 5.3% of population |
| unimproved: | total: 3.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27% (2016) |
| Children under the age of 5 years underweight: | 9.7% (2014) |
| Education expenditures: | 5% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93% |
| Literacy: | male: 96.6% |
| Literacy: | female: 86% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
