| People and Society | Oman |
| --- | --- |
| Population: | 3,494,116 (July 2017 est.) (July 2018 est.) |
| Population: | note: immigrants make up approximately 45% of the total population (2017) |
| Nationality: | noun: Omani(s) |
| Nationality: | adjective: Omani |
| Ethnic groups: | Arab, Baluchi, South Asian (Indian, Pakistani, Sri Lankan, Bangladeshi), African |
| Languages: | Arabic (official), English, Baluchi, Urdu, Indian dialects |
| Religions: | Muslim 85.9%, Christian 6.5%, Hindu 5.5%, Buddhist 0.8%, Jewish <0.1%, other 1%, unaffiliated 0.2% (2010 est.) |
| Religions: | note: Omani citizens represent approximately 60% of the population and are overwhelming Muslim (Ibadhi and Sunni sects each constitute about 45% and Shia about 5%); Christians, Hindus, and Buddhists accounting for roughly 5% of Omani citizens |
| Age structure: | 0-14 years: 30.1% (male 539,202 /female 512,416) |
| Age structure: | 15-24 years: 18.26% (male 334,784 /female 303,172) |
| Age structure: | 25-54 years: 44.15% (male 886,080 /female 656,734) |
| Age structure: | 55-64 years: 3.94% (male 73,233 /female 64,450) |
| Age structure: | 65 years and over: 3.55% (male 60,354 /female 63,691) (2018 est.) |
| Dependency ratios: | total dependency ratio: 32.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 29.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 3.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 32.6 (2015 est.) |
| Median age: | total: 25.8 years |
| Median age: | male: 26.8 years |
| Median age: | female: 24.5 years (2018 est.) |
| Population growth rate: | 2% (2018 est.) |
| Birth rate: | 23.7 births/1,000 population (2018 est.) |
| Death rate: | 3.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of the population is located in and around the Al Hagar Mountains in the north of the country; another smaller cluster is found around the city of Salalah in the far south; most of the country remains sparsely poplulated |
| Urbanization: | urban population: 84.5% of total population (2018) |
| Urbanization: | rate of urbanization: 5.25% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.447 million MUSCAT (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.38 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.14 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.19 male(s)/female (2017 est.) |
| Maternal mortality rate: | 17 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 12.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 12.1 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 75.9 years (2018 est.) |
| Life expectancy at birth: | male: 73.9 years (2018 est.) |
| Life expectancy at birth: | female: 78 years (2018 est.) |
| Total fertility rate: | 2.8 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 29.7% (2014) |
| Health expenditures: | 3.6% of GDP (2014) |
| Physicians density: | 1.92 physicians/1,000 population (2016) |
| Hospital bed density: | 1.6 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 95.5% of population |
| Drinking water source: | rural: 86.1% of population |
| Drinking water source: | total: 93.4% of population |
| Drinking water source: | unimproved: urban: 4.5% of population |
| Drinking water source: | rural: 13.9% of population |
| Drinking water source: | total: 6.6% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 97.3% of population (2015 est.) |
| Sanitation facility access: | rural: 94.7% of population (2015 est.) |
| Sanitation facility access: | total: 96.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.7% of population (2015 est.) |
| Sanitation facility access: | rural: 5.3% of population (2015 est.) |
| Sanitation facility access: | total: 3.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27% (2016) |
| Children under the age of 5 years underweight: | 9.7% (2014) |
| Education expenditures: | 6.2% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 93% (2015 est.) |
| Literacy: | male: 96.6% (2015 est.) |
| Literacy: | female: 86% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years (2015) |
| School life expectancy (primary to tertiary education): | male: 13 years (2015) |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
