| People and Society | Samoa |
| --- | --- |
| Population: | 203,774 (July 2020 est.) |
| Nationality: | noun: Samoan(s) |
| Nationality: | adjective: Samoan |
| Ethnic groups: | Samoan 96%, Samoan/New Zealander 2%, other 1.9% (2011 est.) |
| Ethnic groups: | note: data represent the population by country of citizenship |
| Languages: | Samoan (Polynesian) (official) 91.1%, Somoan/English 6.7%, English (official) 0.5%, other 0.2%, unspecified 1.6% (2006 est.) |
| Religions: | Protestant 54.9% (Congregationalist 29%, Methodist 12.4%, Assembly of God 6.8%, Seventh Day Adventist 4.4%, other Protestant 2.3%), Roman Catholic 18.8%, Mormon 16.9%, Worship Centre 2.8%, other Christian 3.6%, other 2.9% (includes Baha'i, Muslim), none 0.2% (2016 est.) |
| Age structure: | 0-14 years: 29.31% (male 30,825/female 28,900) |
| Age structure: | 15-24 years: 19.61% (male 20,519/female 19,439) |
| Age structure: | 25-54 years: 37.4% (male 39,011/female 37,200) |
| Age structure: | 55-64 years: 7.5% (male 7,780/female 7,505) |
| Age structure: | 65 years and over: 6.18% (male 5,513/female 7,082) (2020 est.) |
| Dependency ratios: | total dependency ratio: 73.3 |
| Dependency ratios: | youth dependency ratio: 64.5 |
| Dependency ratios: | elderly dependency ratio: 8.8 |
| Dependency ratios: | potential support ratio: 11.4 (2020 est.) |
| Median age: | total: 25.6 years |
| Median age: | male: 25.3 years |
| Median age: | female: 26 years (2020 est.) |
| Population growth rate: | 0.61% (2020 est.) |
| Birth rate: | 19.6 births/1,000 population (2020 est.) |
| Death rate: | 5.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -8.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | about three-quarters of the population lives on the island of Upolu |
| Urbanization: | urban population: 17.9% of total population (2020) |
| Urbanization: | rate of urbanization: -0.47% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 36,000 APIA (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 23.6 years (2009 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 43 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 17 deaths/1,000 live births |
| Infant mortality rate: | male: 20 deaths/1,000 live births |
| Infant mortality rate: | female: 13.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.7 years |
| Life expectancy at birth: | male: 71.7 years |
| Life expectancy at birth: | female: 77.7 years (2020 est.) |
| Total fertility rate: | 2.5 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 26.9% (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 96.8% of population |
| Drinking water source: | total: 97.4% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 3.2% of population |
| Drinking water source: | total: 2.6% of population (2017 est.) |
| Current Health Expenditure: | 5.5% (2017) |
| Physicians density: | 0.34 physicians/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 98.5% of population |
| Sanitation facility access: | rural: 98.1% of population |
| Sanitation facility access: | total: 98.2% of population |
| Sanitation facility access: | unimproved: urban: 1.5% of population |
| Sanitation facility access: | rural: 1.9% of population |
| Sanitation facility access: | total: 1.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: malaria |
| Obesity - adult prevalence rate: | 47.3% (2016) |
| Children under the age of 5 years underweight: | 3.2% (2014) |
| Education expenditures: | 4.2% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99% |
| Literacy: | female: 99.2% (2018) |
| Unemployment, youth ages 15-24: | total: 31.9% |
| Unemployment, youth ages 15-24: | male: 24.6% |
| Unemployment, youth ages 15-24: | female: 43.4% (2017 est.) |
