| People and Society | SAMOA |
| --- | --- |
| Nationality: | noun: Samoan(s) |
| Nationality: | adjective: Samoan |
| Ethnic groups: | Samoan 92.6%, Euronesians (persons of European and Polynesian blood) 7%, Europeans 0.4% (2001 census) |
| Languages: | Samoan (Polynesian) (official), English |
| Religions: | Protestant 57.4% (Congregationalist 31.8%, Methodist 13.7%, Assembly of God 8%, Seventh-Day Adventist 3.9%), Roman Catholic 19.4%, Mormon 15.2%, Worship Centre 1.7%, other Christian 5.5%, other 0.7%, none 0.1%, unspecified 0.1% (2011 est.) |
| Population: | 197,773 |
| Population: | note: prior estimates used official net migration data by sex, but a highly unusual pattern for 1993 lead to a significant imbalance in the sex ratios (more men and fewer women) and a seeming reduction in the female population; the revised total was calculated using a 1993 number that was an average of the 1992 and 1994 migration figures (July 2015 est.) |
| Age structure: | 0-14 years: 32.72% (male 33,393/female 31,324) |
| Age structure: | 15-24 years: 19.96% (male 20,253/female 19,217) |
| Age structure: | 25-54 years: 35.58% (male 36,374/female 33,993) |
| Age structure: | 55-64 years: 6.24% (male 6,283/female 6,057) |
| Age structure: | 65 years and over: 5.5% (male 4,730/female 6,149) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 74% |
| population pyramid: | youth dependency ratio: 64.9% |
| population pyramid: | elderly dependency ratio: 9.1% |
| population pyramid: | potential support ratio: 11% (2015 est.) |
| Median age: | total: 23.5 years |
| Median age: | male: 23.3 years |
| Median age: | female: 23.8 years (2015 est.) |
| Population growth rate: | 0.58% (2015 est.) |
| Birth rate: | 20.87 births/1,000 population (2015 est.) |
| Death rate: | 5.32 deaths/1,000 population (2015 est.) |
| Net migration rate: | -9.78 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 19.1% of total population (2015) |
| Urbanization: | rate of urbanization: -0.24% annual rate of change (2010-15 est.) |
| Major urban areas - population: | APIA (capital) 37,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2015 est.) |
| Maternal mortality rate: | 51 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 19.57 deaths/1,000 live births |
| Infant mortality rate: | male: 23.1 deaths/1,000 live births |
| Infant mortality rate: | female: 15.87 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 73.46 years |
| Life expectancy at birth: | male: 70.58 years |
| Life expectancy at birth: | female: 76.48 years (2015 est.) |
| Total fertility rate: | 2.84 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 28.7% (2009) |
| Health expenditures: | 7.5% of GDP (2013) |
| Physicians density: | 0.45 physicians/1,000 population (2008) |
| Hospital bed density: | 1 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 99.3% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 0.7% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.3% of population |
| Sanitation facility access: | rural: 91.1% of population |
| Sanitation facility access: | total: 91.5% of population |
| unimproved: | urban: 6.7% of population |
| unimproved: | rural: 8.9% of population |
| unimproved: | total: 8.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 41.6% (2014) |
| Education expenditures: | 5.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99.1% |
| Literacy: | female: 98.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 19.1% |
| Unemployment, youth ages 15-24: | male: 15.6% |
| Unemployment, youth ages 15-24: | female: 25.3% (2012 est.) |
