| People and Society | SOUTH SUDAN |
| --- | --- |
| Nationality: | noun: South Sudanese (singular and plural) |
| Nationality: | adjective: South Sudanese |
| Ethnic groups: | Dinka 35.8%, Nuer 15.6%, Shilluk, Azande, Bari, Kakwa, Kuku, Murle, Mandari, Didinga, Ndogo, Bviri, Lndi, Anuak, Bongo, Lango, Dungotona, Acholi (2011 est.) |
| Languages: | English (official), Arabic (includes Juba and Sudanese variants), regional languages include Dinka, Nuer, Bari, Zande, Shilluk |
| Religions: | animist, Christian |
| Population: | 12,042,910 (July 2015 est.) |
| Age structure: | 0-14 years: 45.34% (male 2,783,904/female 2,676,370) |
| Age structure: | 15-24 years: 20.08% (male 1,274,328/female 1,144,181) |
| Age structure: | 25-54 years: 29.25% (male 1,701,044/female 1,821,277) |
| Age structure: | 55-64 years: 3.23% (male 210,231/female 179,076) |
| Age structure: | 65 years and over: 2.1% (male 140,993/female 111,506) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83.7% |
| population pyramid: | youth dependency ratio: 77.3% |
| population pyramid: | elderly dependency ratio: 6.4% |
| population pyramid: | potential support ratio: 15.7% (2015 est.) |
| Median age: | total: 17 years |
| Median age: | male: 16.8 years |
| Median age: | female: 17.1 years (2015 est.) |
| Population growth rate: | 4.02% (2015 est.) |
| Birth rate: | 36.91 births/1,000 population (2015 est.) |
| Death rate: | 8.18 deaths/1,000 population (2015 est.) |
| Net migration rate: | 11.47 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 18.8% of total population (2015) |
| Urbanization: | rate of urbanization: 5.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | JUBA (capital) 321,000 (2015) |
| Maternal mortality rate: | 789 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 66.39 deaths/1,000 live births |
| Infant mortality rate: | male: 71.05 deaths/1,000 live births |
| Infant mortality rate: | female: 61.49 deaths/1,000 live births (2015 est.) |
| Total fertility rate: | 5.31 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 4% (2010) |
| Health expenditures: | 2.2% of GDP (2013) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 66.7% of population |
| Drinking water source: | rural: 56.9% of population |
| Drinking water source: | total: 58.7% of population |
| unimproved: | urban: 33.3% of population |
| unimproved: | rural: 43.1% of population |
| unimproved: | total: 41.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 16.4% of population |
| Sanitation facility access: | rural: 4.5% of population |
| Sanitation facility access: | total: 6.7% of population |
| unimproved: | urban: 83.6% of population |
| unimproved: | rural: 95.5% of population |
| unimproved: | total: 93.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.71% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 193,400 (2014 est.) |
| HIV/AIDS - deaths: | 12,700 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne disease: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria, dengue fever, trypanosomiasis-Gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 6.6% (2014) |
| Children under the age of 5 years underweight: | 27.6% (2010) |
| Education expenditures: | 0.7% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 27% |
| Literacy: | male: 40% |
| Literacy: | female: 16% (2009 est.) |
| Unemployment, youth ages 15-24: | total: 18.5% |
| Unemployment, youth ages 15-24: | male: 20% |
| Unemployment, youth ages 15-24: | female: 17% (2008 est.) |
