| People and Society | BOTSWANA |
| --- | --- |
| Nationality: | noun: Motswana (singular), Batswana (plural) |
| Nationality: | adjective: Motswana (singular), Batswana (plural) |
| Ethnic groups: | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| Languages: | Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English (official) 2.1%, Sesarwa 1.9%, Sempukushu 1.7%, other 5.1%, unspecified 0.2% (2001 est.) |
| Religions: | Christian 71.6%, Badimo 6%, other 1.4% (includes Baha'i, Hindu, Muslim), unspecified 0.4%, none 20.6% (2001 est.) |
| Population: | 2,182,719 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 32.66% (male 363,264/female 349,517) |
| Age structure: | 15-24 years: 21.49% (male 233,090/female 235,894) |
| Age structure: | 25-54 years: 37.31% (male 433,246/female 381,151) |
| Age structure: | 55-64 years: 4.48% (male 43,604/female 54,261) |
| Age structure: | 65 years and over: 4.06% (male 35,346/female 53,346) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55.3% |
| population pyramid: | youth dependency ratio: 49.7% |
| population pyramid: | elderly dependency ratio: 5.6% |
| population pyramid: | potential support ratio: 17.9% (2015 est.) |
| Median age: | total: 23.1 years |
| Median age: | male: 23.1 years |
| Median age: | female: 23 years (2015 est.) |
| Population growth rate: | 1.21% (2015 est.) |
| Birth rate: | 20.96 births/1,000 population (2015 est.) |
| Death rate: | 13.39 deaths/1,000 population (2015 est.) |
| Net migration rate: | 4.56 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2015 est.) |
| Urbanization: | urban population: 57.4% of total population (2015) |
| Urbanization: | rate of urbanization: 1.29% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GABORONE (capital) 247,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.14 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 8.93 deaths/1,000 live births |
| Infant mortality rate: | male: 9.26 deaths/1,000 live births |
| Infant mortality rate: | female: 8.59 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 54.18 years |
| Life expectancy at birth: | male: 55.97 years |
| Life expectancy at birth: | female: 52.33 years (2015 est.) |
| Total fertility rate: | 2.33 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 52.8% |
| Contraceptive prevalence rate: | note: percent of women aged 12-49 (2007/08) |
| Health expenditures: | 5.4% of GDP (2013) |
| Physicians density: | 0.4 physicians/1,000 population (2009) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.2% of population |
| Drinking water source: | rural: 92.3% of population |
| Drinking water source: | total: 96.2% of population |
| unimproved: | urban: 0.8% of population |
| unimproved: | rural: 7.7% of population |
| unimproved: | total: 3.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 78.5% of population |
| Sanitation facility access: | rural: 43.1% of population |
| Sanitation facility access: | total: 63.4% of population |
| unimproved: | urban: 21.5% of population |
| unimproved: | rural: 56.9% of population |
| unimproved: | total: 36.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 25.16% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 392,400 (2014 est.) |
| HIV/AIDS - deaths: | 5,100 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2013) |
| Obesity - adult prevalence rate: | 19.5% (2014) |
| Children under the age of 5 years underweight: | 11.2% (2008) |
| Education expenditures: | 9.5% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.5% |
| Literacy: | male: 88% |
| Literacy: | female: 88.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2008) |
| Child labor - children ages 5-14: | total number: 45,036 |
| Child labor - children ages 5-14: | percentage: 9% |
| Child labor - children ages 5-14: | note: data represents children ages 7-17 (2006 est.) |
