| People and Society | Botswana |
| --- | --- |
| Nationality: | noun: Motswana (singular), Batswana (plural) |
| Nationality: | adjective: Motswana (singular), Batswana (plural) |
| Ethnic groups: | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| Languages: | Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English (official) 2.1%, other 8.6%, unspecified 0.4% (2001 census) |
| Religions: | Christian 71.6%, Badimo 6%, other 1.4%, unspecified 0.4%, none 20.6% (2001 census) |
| Population: | 2,065,398 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 33.9% (male 356,346/female 343,452) |
| Age structure: | 15-64 years: 62.2% (male 649,931/female 634,998) |
| Age structure: | 65 years and over: 3.9% (male 32,542/female 48,129) (2011 est.) |
| Median age: | total: 22.3 years |
| Median age: | male: 22.2 years |
| Median age: | female: 22.4 years (2011 est.) |
| Population growth rate: | 1.656% (2011 est.) |
| Birth rate: | 22.31 births/1,000 population (2011 est.) |
| Death rate: | 10.57 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 4.82 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2011 est.) |
| Urbanization: | urban population: 61% of total population (2010) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major cities - population: | GABORONE (capital) 196,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 190 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 11.14 deaths/1,000 live births |
| Infant mortality rate: | male: 11.76 deaths/1,000 live births |
| Infant mortality rate: | female: 10.51 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 58.05 years |
| Life expectancy at birth: | male: 58.78 years |
| Life expectancy at birth: | female: 57.3 years (2011 est.) |
| Total fertility rate: | 2.5 children born/woman (2011 est.) |
| Health expenditures: | 10.3% of GDP (2009) |
| Physicians density: | 0.336 physicians/1,000 population (2006) |
| Hospital bed density: | 1.81 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 90% of population |
| Drinking water source: | total: 95% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 10% of population |
| unimproved: | total: 5% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 74% of population |
| Sanitation facility access: | rural: 39% of population |
| Sanitation facility access: | total: 60% of population |
| unimproved: | urban: 26% of population |
| unimproved: | rural: 61% of population |
| unimproved: | total: 40% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 24.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 320,000 (2009 est.) |
| HIV/AIDS - deaths: | 5,800 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2009) |
| Children under the age of 5 years underweight: | 10.7% (2000) |
| Education expenditures: | 8.9% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.2% |
| Literacy: | male: 80.4% |
| Literacy: | female: 81.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2007) |
