| People and Society | Botswana |
| --- | --- |
| Nationality: | noun: Motswana (singular), Batswana (plural) |
| Nationality: | adjective: Motswana (singular), Batswana (plural) |
| Ethnic groups: | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| Languages: | Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English (official) 2.1%, other 8.6%, unspecified 0.4% (2001 census) |
| Religions: | Christian 71.6%, Badimo 6%, other 1.4%, unspecified 0.4%, none 20.6% (2001 census) |
| Population: | 2,127,825 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 33.2% (male 360,053/female 346,691) |
| Age structure: | 15-24 years: 21.8% (male 229,713/female 233,546) |
| Age structure: | 25-54 years: 36.7% (male 411,019/female 370,395) |
| Age structure: | 55-64 years: 4.3% (male 40,639/female 51,305) |
| Age structure: | 65 years and over: 4% (male 33,868/female 50,596) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 59.1 % |
| population pyramid: | youth dependency ratio: 53.3 % |
| population pyramid: | elderly dependency ratio: 5.8 % |
| population pyramid: | potential support ratio: 17.3 (2013) |
| Median age: | total: 22.7 years |
| Median age: | male: 22.6 years |
| Median age: | female: 22.7 years (2013 est.) |
| Population growth rate: | 1.35% (2013 est.) |
| Birth rate: | 21.69 births/1,000 population (2013 est.) |
| Death rate: | 12.91 deaths/1,000 population (2013 est.) |
| Net migration rate: | 4.68 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2013 est.) |
| Urbanization: | urban population: 61.7% of total population (2011) |
| Urbanization: | rate of urbanization: 2.07% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GABORONE (capital) 202,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2013 est.) |
| Maternal mortality rate: | 160 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 9.9 deaths/1,000 live births |
| Infant mortality rate: | male: 10.34 deaths/1,000 live births |
| Infant mortality rate: | female: 9.45 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 54.47 years |
| Life expectancy at birth: | male: 55.98 years |
| Life expectancy at birth: | female: 52.92 years (2013 est.) |
| Total fertility rate: | 2.41 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 52.8% |
| Contraceptive prevalence rate: | note: percent of women aged 12-49 (2007/08) |
| Health expenditures: | 5.1% of GDP (2011) |
| Physicians density: | 0.34 physicians/1,000 population (2006) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 92% of population |
| Drinking water source: | total: 96% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 4% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 75% of population |
| Sanitation facility access: | rural: 41% of population |
| Sanitation facility access: | total: 62% of population |
| unimproved: | urban: 25% of population |
| unimproved: | rural: 59% of population |
| unimproved: | total: 38% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 24.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 320,000 (2009 est.) |
| HIV/AIDS - deaths: | 5,800 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2013) |
| Obesity - adult prevalence rate: | 11.2% (2008) |
| Children under the age of 5 years underweight: | 11.2% (2008) |
| Education expenditures: | 7.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.1% |
| Literacy: | male: 84.6% |
| Literacy: | female: 85.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2006) |
| Child labor - children ages 5-14: | total number: 45,036 |
| Child labor - children ages 5-14: | percentage: 9 % |
| Child labor - children ages 5-14: | note: data represents children ages 7-17 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 13.6% |
| Unemployment, youth ages 15-24: | male: 13.2% |
| Unemployment, youth ages 15-24: | female: 14% (2000) |
