| People and Society | Botswana |
| --- | --- |
| Nationality: | noun: Motswana (singular), Batswana (plural) |
| Nationality: | adjective: Motswana (singular), Batswana (plural) |
| Ethnic groups: | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| Languages: | Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English (official) 2.1%, other 8.6%, unspecified 0.4% (2001 census) |
| Religions: | Christian 71.6%, Badimo 6%, other 1.4%, unspecified 0.4%, none 20.6% (2001 census) |
| Population: | 2,155,784 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 32.9% (male 361,717/female 348,150) |
| Age structure: | 15-24 years: 21.6% (male 231,576/female 234,852) |
| Age structure: | 25-54 years: 37% (male 422,182/female 375,836) |
| Age structure: | 55-64 years: 4.4% (male 42,099/female 52,917) |
| Age structure: | 65 years and over: 4% (male 34,567/female 51,888) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 58.6 % |
| population pyramid: | youth dependency ratio: 52.8 % |
| population pyramid: | elderly dependency ratio: 5.9 % |
| population pyramid: | potential support ratio: 17.1 (2014 est.) |
| Median age: | total: 22.9 years |
| Median age: | male: 22.9 years |
| Median age: | female: 22.8 years (2014 est.) |
| Population growth rate: | 1.26% (2014 est.) |
| Birth rate: | 21.34 births/1,000 population (2014 est.) |
| Death rate: | 13.32 deaths/1,000 population (2014 est.) |
| Net migration rate: | 4.62 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2014 est.) |
| Urbanization: | urban population: 61.7% of total population (2011) |
| Urbanization: | rate of urbanization: 2.07% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GABORONE (capital) 202,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.12 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19 (2007 est.) |
| Maternal mortality rate: | 160 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 9.38 deaths/1,000 live births |
| Infant mortality rate: | male: 9.77 deaths/1,000 live births |
| Infant mortality rate: | female: 8.99 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 54.06 years |
| Life expectancy at birth: | male: 55.75 years |
| Life expectancy at birth: | female: 52.32 years (2014 est.) |
| Total fertility rate: | 2.37 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 52.8% |
| Contraceptive prevalence rate: | note: percent of women aged 12-49 (2007/08) |
| Health expenditures: | 5.1% of GDP (2011) |
| Physicians density: | 0.34 physicians/1,000 population (2006) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.3% of population |
| Drinking water source: | rural: 92.8% of population |
| Drinking water source: | total: 96.8% of population |
| unimproved: | urban: 0.7% of population |
| unimproved: | rural: 7.2% of population |
| unimproved: | total: 3.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 77.9% of population |
| Sanitation facility access: | rural: 41.8% of population |
| Sanitation facility access: | total: 64.3% of population |
| unimproved: | urban: 22.1% of population |
| unimproved: | rural: 58.2% of population |
| unimproved: | total: 35.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 23% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 337,700 (2012 est.) |
| HIV/AIDS - deaths: | 5,700 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2013) |
| Obesity - adult prevalence rate: | 11.2% (2008) |
| Children under the age of 5 years underweight: | 11.2% (2008) |
| Education expenditures: | 9.5% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.1% |
| Literacy: | male: 84.6% |
| Literacy: | female: 85.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2006) |
| Child labor - children ages 5-14: | total number: 45,036 |
| Child labor - children ages 5-14: | percentage: 9 % |
| Child labor - children ages 5-14: | note: data represents children ages 7-17 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 13.6% |
| Unemployment, youth ages 15-24: | male: 13.2% |
| Unemployment, youth ages 15-24: | female: 14% (2000) |
