| People and Society | Tanzania |
| --- | --- |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Population: | 42,746,620 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 42% (male 9,003,152/female 8,949,061) |
| Age structure: | 15-64 years: 55.1% (male 11,633,721/female 11,913,951) |
| Age structure: | 65 years and over: 2.9% (male 538,290/female 708,445) (2011 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 18.2 years |
| Median age: | female: 18.7 years (2011 est.) |
| Population growth rate: | 2.002% (2011 est.) |
| Birth rate: | 32.64 births/1,000 population (2011 est.) |
| Death rate: | 12.09 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.53 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 4.7% annual rate of change (2010-15 est.) |
| Major cities - population: | DAR ES SALAAM (capital) 3.207 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 790 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 66.93 deaths/1,000 live births |
| Infant mortality rate: | male: 73.7 deaths/1,000 live births |
| Infant mortality rate: | female: 59.95 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 52.85 years |
| Life expectancy at birth: | male: 51.34 years |
| Life expectancy at birth: | female: 54.42 years (2011 est.) |
| Total fertility rate: | 4.16 children born/woman (2011 est.) |
| Health expenditures: | 5.1% of GDP (2009) |
| Physicians density: | 0.008 physicians/1,000 population (2006) |
| Hospital bed density: | 1.1 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80% of population |
| Drinking water source: | rural: 45% of population |
| Drinking water source: | total: 54% of population |
| unimproved: | urban: 20% of population |
| unimproved: | rural: 55% of population |
| unimproved: | total: 46% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32% of population |
| Sanitation facility access: | rural: 21% of population |
| Sanitation facility access: | total: 24% of population |
| unimproved: | urban: 68% of population |
| unimproved: | rural: 79% of population |
| unimproved: | total: 76% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 5.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.4 million (2009 est.) |
| HIV/AIDS - deaths: | 86,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 16.7% (2005) |
| Education expenditures: | 6.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 69.4% |
| Literacy: | male: 77.5% |
| Literacy: | female: 62.2% (2002 census) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2007) |
| Unemployment, youth ages 15-24: | total: 8.8% |
| Unemployment, youth ages 15-24: | male: 7.4% |
| Unemployment, youth ages 15-24: | female: 10.1% (2005) |
