| People and Society | TANZANIA |
| --- | --- |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Population: | 51,045,882 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 44.34% (male 11,428,872/female 11,205,695) |
| Age structure: | 15-24 years: 19.59% (male 4,999,410/female 4,999,503) |
| Age structure: | 25-54 years: 29.61% (male 7,588,196/female 7,524,554) |
| Age structure: | 55-64 years: 3.49% (male 772,258/female 1,010,744) |
| Age structure: | 65 years and over: 2.97% (male 648,851/female 867,799) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 93.8% |
| population pyramid: | youth dependency ratio: 87.6% |
| population pyramid: | elderly dependency ratio: 6.2% |
| population pyramid: | potential support ratio: 16.1% (2015 est.) |
| Median age: | total: 17.4 years |
| Median age: | male: 17.1 years |
| Median age: | female: 17.7 years (2014 est.) |
| Population growth rate: | 2.79% (2015 est.) |
| Birth rate: | 36.39 births/1,000 population (2015 est.) |
| Death rate: | 8 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.54 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 31.6% of total population (2015) |
| Urbanization: | rate of urbanization: 5.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DAR ES SALAAM (capital) 5.116 million; Mwanza 838,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.76 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 42.43 deaths/1,000 live births |
| Infant mortality rate: | male: 44.47 deaths/1,000 live births |
| Infant mortality rate: | female: 40.33 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 61.71 years |
| Life expectancy at birth: | male: 60.34 years |
| Life expectancy at birth: | female: 63.13 years (2015 est.) |
| Total fertility rate: | 4.89 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 34.4% (2009/10) |
| Health expenditures: | 7.3% of GDP (2013) |
| Physicians density: | 0.03 physicians/1,000 population (2012) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 77.2% of population |
| Drinking water source: | rural: 45.5% of population |
| Drinking water source: | total: 55.6% of population |
| unimproved: | urban: 22.1% of population |
| unimproved: | rural: 56% of population |
| unimproved: | total: 46.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31.3% of population |
| Sanitation facility access: | rural: 8.3% of population |
| Sanitation facility access: | total: 15.6% of population |
| unimproved: | urban: 68.7% of population |
| unimproved: | rural: 91.7% of population |
| unimproved: | total: 84.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 4.95% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,400,500 (2013 est.) |
| HIV/AIDS - deaths: | 78,300 (2013 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact diseases: schistosomiasis and leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5.9% (2014) |
| Children under the age of 5 years underweight: | 13.6% (2011) |
| Education expenditures: | 6.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 70.6% |
| Literacy: | male: 75.9% |
| Literacy: | female: 65.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2012) |
| Child labor - children ages 5-14: | total number: 2,815,085 |
| Child labor - children ages 5-14: | percentage: 21% |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 and does not in (2006 est.) |
| Unemployment, youth ages 15-24: | total: 7.1% (2011 est.) |
