| People | Tanzania |
| --- | --- |
| Population: | 41,048,532 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2009 est.) |
| Age structure: | 0-14 years: 43% (male 8,853,529/female 8,805,810) |
| Age structure: | 15-64 years: 54.1% (male 10,956,133/female 11,255,868) |
| Age structure: | 65 years and over: 2.9% (male 513,959/female 663,233) (2009 est.) |
| Median age: | total: 18 years |
| Median age: | male: 17.8 years |
| Median age: | female: 18.3 years (2009 est.) |
| Population growth rate: | 2.04% (2009 est.) |
| Birth rate: | 34.29 births/1,000 population (2009 est.) |
| Death rate: | 12.59 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | -1.3 migrant(s)/1,000 population (2009 est.) |
| Urbanization: | urban population: 25% of total population (2008) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 69.28 deaths/1,000 live births |
| Infant mortality rate: | male: 76.24 deaths/1,000 live births |
| Infant mortality rate: | female: 62.1 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 52.01 years |
| Life expectancy at birth: | male: 50.56 years |
| Life expectancy at birth: | female: 53.51 years (2009 est.) |
| Total fertility rate: | 4.46 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 6.2% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.4 million (2007 est.) |
| HIV/AIDS - deaths: | 96,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 69.4% |
| Literacy: | male: 77.5% |
| Literacy: | female: 62.2% (2002 census) |
| Education expenditures: | 2.2% of GDP (1999) |
