| People | Tanzania |
| --- | --- |
| Population: | 40,213,160 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 43.5% (male 8,763,471/female 8,719,198) |
| Age structure: | 15-64 years: 53.7% (male 10,638,666/female 10,947,190) |
| Age structure: | 65 years and over: 2.8% (male 502,368/female 642,269) (2008 est.) |
| Median age: | total: 17.8 years |
| Median age: | male: 17.6 years |
| Median age: | female: 18.1 years (2008 est.) |
| Population growth rate: | 2.072% (2008 est.) |
| Birth rate: | 35.12 births/1,000 population (2008 est.) |
| Death rate: | 12.92 deaths/1,000 population (2008 est.) |
| Net migration rate: | -1.48 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 70.46 deaths/1,000 live births |
| Infant mortality rate: | male: 77.51 deaths/1,000 live births |
| Infant mortality rate: | female: 63.19 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 51.45 years |
| Life expectancy at birth: | male: 50.06 years |
| Life expectancy at birth: | female: 52.88 years (2008 est.) |
| Total fertility rate: | 4.62 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 8.8% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.6 million (2003 est.) |
| HIV/AIDS - deaths: | 160,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague |
| Major infectious diseases: | water contact disease: schistosomiasis (2008) |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 69.4% |
| Literacy: | male: 77.5% |
| Literacy: | female: 62.2% (2002 census) |
| Education expenditures: | 2.2% of GDP (1999) |
