| People and Society | Tanzania |
| --- | --- |
| Nationality: | noun: Tanzanian(s) |
| Nationality: | adjective: Tanzanian |
| Ethnic groups: | mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African |
| Languages: | Kiswahili or Swahili (official), Kiunguja (name for Swahili in Zanzibar), English (official, primary language of commerce, administration, and higher education), Arabic (widely spoken in Zanzibar), many local languages |
| Languages: | note: Kiswahili (Swahili) is the mother tongue of the Bantu people living in Zanzibar and nearby coastal Tanzania; although Kiswahili is Bantu in structure and origin, its vocabulary draws on a variety of sources including Arabic and English; it has become the lingua franca of central and eastern Africa; the first language of most people is one of the local languages |
| Religions: | mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim |
| Population: | 48,261,942 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 44.8% (male 10,913,552/female 10,715,034) |
| Age structure: | 15-24 years: 19.4% (male 4,689,483/female 4,694,663) |
| Age structure: | 25-54 years: 29.3% (male 7,095,382/female 7,060,506) |
| Age structure: | 55-64 years: 3.5% (male 721,769/female 959,008) |
| Age structure: | 65 years and over: 2.9% (male 610,252/female 802,293) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 92.5 % |
| population pyramid: | youth dependency ratio: 86.3 % |
| population pyramid: | elderly dependency ratio: 6.2 % |
| population pyramid: | potential support ratio: 16.2 (2013) |
| Median age: | total: 17.3 years |
| Median age: | male: 17 years |
| Median age: | female: 17.6 years (2013 est.) |
| Population growth rate: | 2.82% (2013 est.) |
| Birth rate: | 37.25 births/1,000 population (2013 est.) |
| Death rate: | 8.41 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 26.7% of total population (2011) |
| Urbanization: | rate of urbanization: 4.77% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DAR ES SALAAM (capital) 3.207 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.75 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.6 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 460 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 45.1 deaths/1,000 live births |
| Infant mortality rate: | male: 47.13 deaths/1,000 live births |
| Infant mortality rate: | female: 43 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 60.76 years |
| Life expectancy at birth: | male: 59.48 years |
| Life expectancy at birth: | female: 62.09 years (2013 est.) |
| Total fertility rate: | 5.01 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 34.4% (2009/10) |
| Health expenditures: | 7.3% of GDP (2011) |
| Physicians density: | 0.01 physicians/1,000 population (2006) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 79% of population |
| Drinking water source: | rural: 44% of population |
| Drinking water source: | total: 53% of population |
| unimproved: | urban: 21% of population |
| unimproved: | rural: 56% of population |
| unimproved: | total: 47% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 20% of population |
| Sanitation facility access: | rural: 7% of population |
| Sanitation facility access: | total: 10% of population |
| unimproved: | urban: 80% of population |
| unimproved: | rural: 93% of population |
| unimproved: | total: 90% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 5.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.4 million (2009 est.) |
| HIV/AIDS - deaths: | 86,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact diseases: schistosomiasis and leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5% (2008) |
| Children under the age of 5 years underweight: | 16.7% (2005) |
| Education expenditures: | 6.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 67.8% |
| Literacy: | male: 75.5% |
| Literacy: | female: 60.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2012) |
| Child labor - children ages 5-14: | total number: 2,815,085 |
| Child labor - children ages 5-14: | percentage: 21 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 and does not in (2006 est.) |
| Unemployment, youth ages 15-24: | total: 8.8% |
| Unemployment, youth ages 15-24: | male: 7.4% |
| Unemployment, youth ages 15-24: | female: 10.1% (2006) |
