| People and Society | MONTSERRAT |
| --- | --- |
| Population: | 5,292 |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned (July 2017 est.) |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | African/black 88.4%, mixed 3.7%, hispanic/Spanish 3%, caucasian/white 2.7%, East Indian/Indian 1.5%, other 0.7% (2011 est.) |
| Languages: | English |
| Religions: | Protestant 67.1% (includes Anglican 21.8%, Methodist 17%, Pentecostal 14.1%, Seventh Day Adventist 10.5%, and Church of God 3.7%), Roman Catholic 11.6%, Rastafarian 1.4%, other 6.5%, none 2.6%, unspecified 10.8% (2001 est.) |
| Age structure: | 0-14 years: 16.5% (male 449/female 424) |
| Age structure: | 15-24 years: 21.52% (male 599/female 540) |
| Age structure: | 25-54 years: 47.43% (male 1,201/female 1,309) |
| Age structure: | 55-64 years: 8.45% (male 194/female 253) |
| Age structure: | 65 years and over: 6.1% (male 199/female 124) (2017 est.) |
| Median age: | total: 33.2 years |
| Median age: | male: 32.6 years |
| Median age: | female: 33.7 years (2017 est.) |
| Population growth rate: | 0.45% (2017 est.) |
| Birth rate: | 10.8 births/1,000 population (2017 est.) |
| Death rate: | 6.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | only the northern half of the island is populated, the southern portion is uninhabitable due to volcanic activity |
| Urbanization: | urban population: 9% of total population (2017) |
| Urbanization: | rate of urbanization: 0.7% annual rate of change (2015-20 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 1.6 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 12.3 deaths/1,000 live births |
| Infant mortality rate: | male: 9.7 deaths/1,000 live births |
| Infant mortality rate: | female: 15.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 74.6 years |
| Life expectancy at birth: | male: 75.9 years |
| Life expectancy at birth: | female: 73.2 years (2017 est.) |
| Total fertility rate: | 1.33 children born/woman (2017 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.9% of population |
| Sanitation facility access: | rural: 82.9% of population |
| Sanitation facility access: | total: 82.9% of population |
| unimproved: | urban: 17.1% of population |
| unimproved: | rural: 17.1% of population |
| unimproved: | total: 17.1% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 5.1% of GDP (2009) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
