| People and Society | Montserrat |
| --- | --- |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | African/black 88.4%, mixed 3.7%, hispanic/Spanish 3%, caucasian/white 2.7%, East Indian/Indian 1.5%, other 0.7% (2011 est.) |
| Languages: | English |
| Religions: | Protestant 67.1% (includes Anglican 21.8%, Methodist 17%, Pentecostal 14.1%, Seventh Day Adventist 10.5%, and Church of God 3.7%), Roman Catholic 11.6%, Rastafarian 1.4%, other 6.5%, none 2.6%, unspecified 10.8% (2001 est.) |
| Population: | 5,215 |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned (July 2014 est.) |
| Age structure: | 0-14 years: 17.6% (male 472/female 445) |
| Age structure: | 15-24 years: 21.5% (male 588/female 531) |
| Age structure: | 25-54 years: 47.9% (male 1,190/female 1,309) |
| Age structure: | 55-64 years: 6.9% (male 160/female 200) |
| Age structure: | 65 years and over: 6.2% (male 196/female 124) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.4 years |
| population pyramid: | male: 30.9 years |
| population pyramid: | female: 31.9 years (2014 est.) |
| Population growth rate: | 0.48% (2014 est.) |
| Birth rate: | 11.31 births/1,000 population (2014 est.) |
| Death rate: | 6.52 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 14.2% of total population (2011) |
| Urbanization: | rate of urbanization: 1.89% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 1.55 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 13.66 deaths/1,000 live births |
| Infant mortality rate: | male: 10.54 deaths/1,000 live births |
| Infant mortality rate: | female: 16.92 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 73.9 years |
| Life expectancy at birth: | male: 75.48 years |
| Life expectancy at birth: | female: 72.24 years (2014 est.) |
| Total fertility rate: | 1.29 children born/woman (2014 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.9% of population |
| Sanitation facility access: | rural: 82.9% of population |
| Sanitation facility access: | total: 82.9% of population |
| unimproved: | urban: 17.1% of population |
| unimproved: | rural: 17.1% of population |
| unimproved: | total: 17.1% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 97% |
| Literacy: | male: 97% |
| Literacy: | female: 97% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
