| People and Society | Montserrat |
| --- | --- |
| Population: | 5,373 (July 2020 est.) |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | African/Black 88.4%, mixed 3.7%, Hispanic/Spanish 3%, Caucasian/White 2.7%, East Indian/Indian 1.5%, other 0.7% (2011 est.) |
| Languages: | English |
| Religions: | Protestant 67.1% (includes Anglican 21.8%, Methodist 17%, Pentecostal 14.1%, Seventh Day Adventist 10.5%, and Church of God 3.7%), Roman Catholic 11.6%, Rastafarian 1.4%, other 6.5%, none 2.6%, unspecified 10.8% (2001 est.) |
| Age structure: | 0-14 years: 16.02% (male 443/female 418) |
| Age structure: | 15-24 years: 20.55% (male 579/female 525) |
| Age structure: | 25-54 years: 47.09% (male 1,217/female 1,313) |
| Age structure: | 55-64 years: 9.79% (male 246/female 280) |
| Age structure: | 65 years and over: 6.55% (male 196/female 156) (2020 est.) |
| Median age: | total: 34.8 years |
| Median age: | male: 34.1 years |
| Median age: | female: 35.6 years (2020 est.) |
| Population growth rate: | 0.58% (2020 est.) |
| Birth rate: | 11.7 births/1,000 population (2020 est.) |
| Death rate: | 6 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | only the northern half of the island is populated, the southern portion is uninhabitable due to volcanic activity |
| Urbanization: | urban population: 9.1% of total population (2020) |
| Urbanization: | rate of urbanization: 0.64% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.1 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 1.26 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 11.1 deaths/1,000 live births |
| Infant mortality rate: | male: 8.9 deaths/1,000 live births |
| Infant mortality rate: | female: 13.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 75.3 years |
| Life expectancy at birth: | male: 76.4 years |
| Life expectancy at birth: | female: 74.1 years (2020 est.) |
| Total fertility rate: | 1.36 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| Drinking water source: | unimproved: urban: 1% of population |
| Drinking water source: | rural: 1% of population |
| Drinking water source: | total: 1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 8.8% of GDP (2019) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2019) |
