| People and Society | MONTSERRAT |
| --- | --- |
| Population: | 5,267 |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned (July 2016 est.) |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | African/black 88.4%, mixed 3.7%, hispanic/Spanish 3%, caucasian/white 2.7%, East Indian/Indian 1.5%, other 0.7% (2011 est.) |
| Languages: | English |
| Religions: | Protestant 67.1% (includes Anglican 21.8%, Methodist 17%, Pentecostal 14.1%, Seventh Day Adventist 10.5%, and Church of God 3.7%), Roman Catholic 11.6%, Rastafarian 1.4%, other 6.5%, none 2.6%, unspecified 10.8% (2001 est.) |
| Age structure: | 0-14 years: 16.27% (male 442/female 415) |
| Age structure: | 15-24 years: 22.08% (male 605/female 558) |
| Age structure: | 25-54 years: 47.66% (male 1,202/female 1,308) |
| Age structure: | 55-64 years: 7.88% (male 188/female 227) |
| Age structure: | 65 years and over: 6.11% (male 193/female 129) (2016 est.) |
| Median age: | total: 32.6 years |
| Median age: | male: 32.1 years |
| Median age: | female: 33.1 years (2016 est.) |
| Population growth rate: | 0.48% (2016 est.) |
| Birth rate: | 11 births/1,000 population (2016 est.) |
| Death rate: | 6.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | only the northern half of the island is populated, the southern portion is uninhabitable due to volcanic activity |
| Urbanization: | urban population: 9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.65% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 1.6 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 12.7 deaths/1,000 live births |
| Infant mortality rate: | male: 9.9 deaths/1,000 live births |
| Infant mortality rate: | female: 15.6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 74.4 years |
| Life expectancy at birth: | male: 75.8 years |
| Life expectancy at birth: | female: 72.9 years (2016 est.) |
| Total fertility rate: | 1.31 children born/woman (2016 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.9% of population |
| Sanitation facility access: | rural: 82.9% of population |
| Sanitation facility access: | total: 82.9% of population |
| unimproved: | urban: 17.1% of population |
| unimproved: | rural: 17.1% of population |
| unimproved: | total: 17.1% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 5.1% of GDP (2009) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
