| People and Society | MONTSERRAT |
| --- | --- |
| Nationality: | noun: Montserratian(s) |
| Nationality: | adjective: Montserratian |
| Ethnic groups: | African/black 88.4%, mixed 3.7%, hispanic/Spanish 3%, caucasian/white 2.7%, East Indian/Indian 1.5%, other 0.7% (2011 est.) |
| Languages: | English |
| Religions: | Protestant 67.1% (includes Anglican 21.8%, Methodist 17%, Pentecostal 14.1%, Seventh Day Adventist 10.5%, and Church of God 3.7%), Roman Catholic 11.6%, Rastafarian 1.4%, other 6.5%, none 2.6%, unspecified 10.8% (2001 est.) |
| Population: | 5,241 |
| Population: | note: an estimated 8,000 refugees left the island following the resumption of volcanic activity in July 1995; some have returned (July 2015 est.) |
| Age structure: | 0-14 years: 17.99% (male 485/female 458) |
| Age structure: | 15-24 years: 20.89% (male 567/female 528) |
| Age structure: | 25-54 years: 47.89% (male 1,202/female 1,308) |
| Age structure: | 55-64 years: 6.98% (male 163/female 203) |
| Age structure: | 65 years and over: 6.24% (male 201/female 126) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.9 years |
| population pyramid: | male: 31.5 years |
| population pyramid: | female: 32.5 years (2015 est.) |
| Population growth rate: | 0.5% (2015 est.) |
| Birth rate: | 11.26 births/1,000 population (2015 est.) |
| Death rate: | 6.3 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.65% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 1.6 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 13.17 deaths/1,000 live births |
| Infant mortality rate: | male: 10.22 deaths/1,000 live births |
| Infant mortality rate: | female: 16.25 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 74.14 years |
| Life expectancy at birth: | male: 75.64 years |
| Life expectancy at birth: | female: 72.57 years (2015 est.) |
| Total fertility rate: | 1.3 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.9% of population |
| Sanitation facility access: | rural: 82.9% of population |
| Sanitation facility access: | total: 82.9% of population |
| unimproved: | urban: 17.1% of population |
| unimproved: | rural: 17.1% of population |
| unimproved: | total: 17.1% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
