| People and Society | Ecuador |
| --- | --- |
| Nationality: | noun: Ecuadorian(s) |
| Nationality: | adjective: Ecuadorian |
| Ethnic groups: | mestizo (mixed Amerindian and white) 65%, Amerindian 25%, Spanish and others 7%, black 3% |
| Languages: | Spanish (official), Amerindian languages (especially Quechua) |
| Religions: | Roman Catholic 95%, other 5% |
| Population: | 15,007,343 (July 2011 est.) |
| Age structure: | 0-14 years: 30.1% (male 2,301,840/female 2,209,971) |
| Age structure: | 15-64 years: 63.5% (male 4,699,548/female 4,831,521) |
| Age structure: | 65 years and over: 6.4% (male 463,481/female 500,982) (2011 est.) |
| Median age: | total: 25.7 years |
| Median age: | male: 25 years |
| Median age: | female: 26.3 years (2011 est.) |
| Population growth rate: | 1.443% (2011 est.) |
| Birth rate: | 19.96 births/1,000 population (2011 est.) |
| Death rate: | 5 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.52 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 67% of total population (2010) |
| Urbanization: | rate of urbanization: 2% annual rate of change (2010-15 est.) |
| Major cities - population: | Guayaquil 2.634 million; QUITO (capital) 1.801 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 140 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 19.65 deaths/1,000 live births |
| Infant mortality rate: | male: 23.02 deaths/1,000 live births |
| Infant mortality rate: | female: 16.11 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 75.73 years |
| Life expectancy at birth: | male: 72.79 years |
| Life expectancy at birth: | female: 78.82 years (2011 est.) |
| Total fertility rate: | 2.42 children born/woman (2011 est.) |
| Health expenditures: | 5% of GDP (2009) |
| Physicians density: | 1.48 physicians/1,000 population (2000) |
| Hospital bed density: | 1.5 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 88% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 12% of population |
| unimproved: | total: 6% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 84% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 16% of population |
| unimproved: | total: 8% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 37,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,200 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 6.2% (2004) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91% |
| Literacy: | male: 92.3% |
| Literacy: | female: 89.7% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2008) |
| Unemployment, youth ages 15-24: | total: 14.1% |
| Unemployment, youth ages 15-24: | male: 11.7% |
| Unemployment, youth ages 15-24: | female: 18.1% (2009) |
