| People and Society | Ecuador |
| --- | --- |
| Population: | 16,904,867 (July 2020 est.) |
| Nationality: | noun: Ecuadorian(s) |
| Nationality: | adjective: Ecuadorian |
| Ethnic groups: | Mestizo (mixed Amerindian and White) 71.9%, Montubio 7.4%, Amerindian 7%, White 6.1%, Afroecuadorian 4.3%, Mulatto 1.9%, Black 1%, other 0.4% (2010 est.) |
| Languages: | Spanish (Castilian) 93% (official), Quechua 4.1%, other indigenous 0.7%, foreign 2.2% (2010 est.) |
| Languages: | note: (Quechua and Shuar are official languages of intercultural relations; other indigenous languages are in official use by indigenous peoples in the areas they inhabit) |
| Religions: | Roman Catholic 74%, Evangelical 10.4%, Jehovah's Witness 1.2%, other 6.4% (includes Mormon, Buddhist, Jewish, Spiritualist, Muslim, Hindu, indigenous, African American, Pentecostal), atheist 7.9%, agnostic 0.1% (2012 est.) |
| Religions: | note: data represent persons at least 16 years of age from five Ecuadoran cities |
| Demographic profile: | Ecuador's high poverty and income inequality most affect indigenous, mixed race, and rural populations. The government has increased its social spending to ameliorate these problems, but critics question the efficiency and implementation of its national development plan. Nevertheless, the conditional cash transfer program, which requires participants' children to attend school and have medical check-ups, has helped improve educational attainment and healthcare among poor children. Ecuador is stalled at above replacement level fertility and the population most likely will keep growing rather than stabilize. |
| Demographic profile: | An estimated 2 to 3 million Ecuadorians live abroad, but increased unemployment in key receiving countries - Spain, the United States, and Italy - is slowing emigration and increasing the likelihood of returnees to Ecuador. The first large-scale emigration of Ecuadorians occurred between 1980 and 2000, when an economic crisis drove Ecuadorians from southern provinces to New York City, where they had trade contacts. A second, nationwide wave of emigration in the late 1990s was caused by another economic downturn, political instability, and a currency crisis. Spain was the logical destination because of its shared language and the wide availability of low-skilled, informal jobs at a time when increased border surveillance made illegal migration to the US difficult. Ecuador has a small but growing immigrant population and is Latin America's top recipient of refugees; 98% are neighboring Colombians fleeing violence in their country. |
| Age structure: | 0-14 years: 25.82% (male 2,226,240/female 2,138,219) |
| Age structure: | 15-24 years: 17.8% (male 1,531,545/female 1,478,222) |
| Age structure: | 25-54 years: 40.31% (male 3,333,650/female 3,480,262) |
| Age structure: | 55-64 years: 7.92% (male 647,718/female 691,759) |
| Age structure: | 65 years and over: 8.15% (male 648,761/female 728,491) (2020 est.) |
| Dependency ratios: | total dependency ratio: 53.8 |
| Dependency ratios: | youth dependency ratio: 42.1 |
| Dependency ratios: | elderly dependency ratio: 11.7 |
| Dependency ratios: | potential support ratio: 8.6 (2020 est.) |
| Median age: | total: 28.8 years |
| Median age: | male: 28 years |
| Median age: | female: 29.6 years (2020 est.) |
| Population growth rate: | 1.2% (2020 est.) |
| Birth rate: | 17 births/1,000 population (2020 est.) |
| Death rate: | 5.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | nearly half of the population is concentrated in the interior in the Andean intermontane basins and valleys, with large concentrations also found along the western coastal strip; the rainforests of the east remain sparsely populated |
| Urbanization: | urban population: 64.2% of total population (2020) |
| Urbanization: | rate of urbanization: 1.66% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.994 million Guayaquil, 1.874 million QUITO (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2020 est.) |
| Maternal mortality rate: | 59 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 15 deaths/1,000 live births |
| Infant mortality rate: | male: 17.8 deaths/1,000 live births |
| Infant mortality rate: | female: 12 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 77.5 years |
| Life expectancy at birth: | male: 74.5 years |
| Life expectancy at birth: | female: 80.6 years (2020 est.) |
| Total fertility rate: | 2.09 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 80.1% (2007/12) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 83.5% of population |
| Drinking water source: | total: 94% of population |
