| People and Society | Saudi Arabia |
| --- | --- |
| Population: | 33,091,113 (July 2017 est.) (July 2018 est.) |
| Population: | note: immigrants make up 37% of the total population, according to UN data (2017) |
| Nationality: | noun: Saudi(s) |
| Nationality: | adjective: Saudi or Saudi Arabian |
| Ethnic groups: | Arab 90%, Afro-Asian 10% |
| Languages: | Arabic (official) |
| Religions: | Muslim (official; citizens are 85-90% Sunni and 10-15% Shia), other (includes Eastern Orthodox, Protestant, Roman Catholic, Jewish, Hindu, Buddhist, and Sikh) (2012 est.) |
| Religions: | note: despite having a large expatriate community of various faiths (more than 30% of the population), most forms of public religious expression inconsistent with the government-sanctioned interpretation of Sunni Islam are restricted; non-Muslims are not allowed to have Saudi citizenship and non-Muslim places of worship are not permitted (2013) |
| Age structure: | 0-14 years: 25.74% (male 4,348,227 /female 4,170,944) |
| Age structure: | 15-24 years: 15.58% (male 2,707,229 /female 2,447,519) |
| Age structure: | 25-54 years: 49.88% (male 9,951,080 /female 6,554,525) |
| Age structure: | 55-64 years: 5.48% (male 1,112,743 /female 700,553) |
| Age structure: | 65 years and over: 3.32% (male 586,606 /female 511,687) (2018 est.) |
| Dependency ratios: | total dependency ratio: 40.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 36.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 4.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 23.2 (2015 est.) |
| Median age: | total: 29.9 years |
| Median age: | male: 32.1 years |
| Median age: | female: 27.2 years (2018 est.) |
| Population growth rate: | 1.63% (2018 est.) |
| Birth rate: | 15.6 births/1,000 population (2018 est.) |
| Death rate: | 3.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | historically a population that was mostly nomadic or semi-nomadic, the Saudi population has become more settled since petroleum was discovered in the 1930s; most of the economic activities - and with it the country's population - is concentrated in a wide area across the middle of the peninsula, from Ad Dammam in the east, through Riyadh in the interior, to Mecca-Medina in the west near the Red Sea |
| Urbanization: | urban population: 83.8% of total population (2018) |
| Urbanization: | rate of urbanization: 2.17% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 6.907 million RIYADH (capital), 4.433 million Jeddah, 1.967 million Mecca, 1.43 million Medina, 1.197 million Ad Dammam (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.15 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.31 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.21 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.19 male(s)/female (2017 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 13 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 11.1 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 75.7 years (2018 est.) |
| Life expectancy at birth: | male: 74.2 years (2018 est.) |
| Life expectancy at birth: | female: 77.3 years (2018 est.) |
| Total fertility rate: | 2.04 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 24.6% (2016) |
| Health expenditures: | 4.7% of GDP (2014) |
| Physicians density: | 2.57 physicians/1,000 population (2014) |
| Hospital bed density: | 2.7 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 97% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 97% of population |
| Drinking water source: | unimproved: rural: 3% of population |
| Drinking water source: | total: 3% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,200 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Obesity - adult prevalence rate: | 35.4% (2016) |
| Education expenditures: | 5.1% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 94.7% (2015 est.) |
| Literacy: | male: 97% (2015 est.) |
| Literacy: | female: 91.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years (2014) |
| School life expectancy (primary to tertiary education): | male: 17 years (2014) |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Unemployment, youth ages 15-24: | total: 24.2% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 17.4% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 46.3% (2016 est.) |
