| People and Society | Bosnia and Herzegovina |
| --- | --- |
| Population: | 3,849,891 (July 2018 est.) |
| Nationality: | noun: Bosnian(s), Herzegovinian(s) |
| Nationality: | adjective: Bosnian, Herzegovinian |
| Ethnic groups: | Bosniak 50.1%, Serb 30.8%, Croat 15.4%, other 2.7%, not declared/no answer 1% (2013 est.) |
| Ethnic groups: | note: Republika Srpska authorities dispute the methodology and refuse to recognize the results; Bosniak has replaced Muslim as an ethnic term in part to avoid confusion with the religious term Muslim - an adherent of Islam |
| Languages: | Bosnian (official) 52.9%, Serbian (official) 30.8%, Croatian (official) 14.6%, other 1.6%, no answer 0.2% (2013 est.) |
| Religions: | Muslim 50.7%, Orthodox 30.7%, Roman Catholic 15.2%, atheist 0.8%, agnostic 0.3%, other 1.2%, undeclared/no answer 1.1% (2013 est.) |
| Age structure: | 0-14 years: 13.24% (male 263,338 /female 246,220) |
| Age structure: | 15-24 years: 11.26% (male 223,824 /female 209,829) |
| Age structure: | 25-54 years: 45.51% (male 881,331 /female 870,601) |
| Age structure: | 55-64 years: 14.95% (male 278,460 /female 297,231) |
| Age structure: | 65 years and over: 15.04% (male 229,282 /female 349,775) (2018 est.) |
| Dependency ratios: | total dependency ratio: 43.3 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 20.7 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 22.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.4 (2015 est.) |
| Median age: | total: 42.5 years (2018 est.) |
| Median age: | male: 40.9 years |
| Median age: | female: 43.9 years |
| Population growth rate: | -0.17% (2018 est.) |
| Birth rate: | 8.7 births/1,000 population (2018 est.) |
| Death rate: | 10.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the northern and central areas of the country are the most densely populated |
| Urbanization: | urban population: 48.6% of total population (2019) |
| Urbanization: | rate of urbanization: 0.55% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 343,000 SARAJEVO (capital) (2019) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 27 years (2014 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 5.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 5.5 deaths/1,000 live births |
| Infant mortality rate: | female: 5.3 deaths/1,000 live births |
| Life expectancy at birth: | total population: 77.1 years (2018 est.) |
| Life expectancy at birth: | male: 74.1 years |
| Life expectancy at birth: | female: 80.3 years |
| Total fertility rate: | 1.31 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 45.8% (2011/12) |
| Drinking water source: | improved: urban: 99.7% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.9% of population |
| Drinking water source: | unimproved: urban: 0.3% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0.1% of population (2015 est.) |
| Current Health Expenditure: | 9.2% (2016) |
| Physicians density: | 1.89 physicians/1,000 population (2013) |
| Hospital bed density: | 3.5 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 98.9% of population (2015 est.) |
| Sanitation facility access: | rural: 92% of population (2015 est.) |
| Sanitation facility access: | total: 94.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 1.1% of population (2015 est.) |
| Sanitation facility access: | rural: 8% of population (2015 est.) |
| Sanitation facility access: | total: 5.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2018) |
| HIV/AIDS - deaths: | <100 (2018) |
| Obesity - adult prevalence rate: | 17.9% (2016) |
| Children under the age of 5 years underweight: | 1.6% (2012) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.5% |
| Literacy: | male: 99.5% |
| Literacy: | female: 97.5% (2015) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Unemployment, youth ages 15-24: | total: 45.8% |
| Unemployment, youth ages 15-24: | male: 43.1% |
| Unemployment, youth ages 15-24: | female: 51.4% (2017 est.) |
