| People and Society | Bosnia and Herzegovina |
| --- | --- |
| Nationality: | noun: Bosnian(s), Herzegovinian(s) |
| Nationality: | adjective: Bosnian, Herzegovinian |
| Ethnic groups: | Bosniak 48%, Serb 37.1%, Croat 14.3%, other 0.6% (2000) |
| Ethnic groups: | note: Bosniak has replaced Muslim as an ethnic term in part to avoid confusion with the religious term Muslim - an adherent of Islam |
| Languages: | Bosnian (official), Croatian (official), Serbian (official) |
| Religions: | Muslim 40%, Orthodox 31%, Roman Catholic 15%, other 14% |
| Population: | 3,875,723 (July 2013 est.) |
| Age structure: | 0-14 years: 14% (male 279,293/female 262,552) |
| Age structure: | 15-24 years: 13% (male 260,430/female 243,589) |
| Age structure: | 25-54 years: 46.8% (male 910,266/female 905,184) |
| Age structure: | 55-64 years: 13.2% (male 243,936/female 268,614) |
| Age structure: | 65 years and over: 12.9% (male 194,743/female 307,116) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 45.5 % |
| population pyramid: | youth dependency ratio: 22.9 % |
| population pyramid: | elderly dependency ratio: 22.7 % |
| population pyramid: | potential support ratio: 4.4 (2013) |
| Median age: | total: 40.4 years |
| Median age: | male: 39 years |
| Median age: | female: 41.7 years (2013 est.) |
| Population growth rate: | -0.1% (2013 est.) |
| Birth rate: | 8.92 births/1,000 population (2013 est.) |
| Death rate: | 9.53 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.37 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 49% of total population (2010) |
| Urbanization: | rate of urbanization: 1.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SARAJEVO (capital) 389,000 (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.63 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 25.9 (2010 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 5.97 deaths/1,000 live births |
| Infant mortality rate: | male: 6.02 deaths/1,000 live births |
| Infant mortality rate: | female: 5.92 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 76.12 years |
| Life expectancy at birth: | male: 73.13 years |
| Life expectancy at birth: | female: 79.34 years (2013 est.) |
| Total fertility rate: | 1.25 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 45.8% (2012) |
| Health expenditures: | 10.2% of GDP (2011) |
| Physicians density: | 1.69 physicians/1,000 population (2010) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 1% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 92% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 8% of population |
| unimproved: | total: 5% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 900 (2007 est.) |
| HIV/AIDS - deaths: | 100 (2001 est.) |
| Obesity - adult prevalence rate: | 26.5% (2008) |
| Children under the age of 5 years underweight: | 1.6% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98% |
| Literacy: | male: 99.5% |
| Literacy: | female: 96.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Child labor - children ages 5-14: | total number: 24,722 |
| Child labor - children ages 5-14: | percentage: 5 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 57.5% |
| Unemployment, youth ages 15-24: | male: 56.8% |
| Unemployment, youth ages 15-24: | female: 60% (2011) |
