| People and Society | Chad |
| --- | --- |
| Nationality: | noun: Chadian(s) |
| Nationality: | adjective: Chadian |
| Ethnic groups: | Sara 27.7%, Arab 12.3%, Mayo-Kebbi 11.5%, Kanem-Bornou 9%, Ouaddai 8.7%, Hadjarai 6.7%, Tandjile 6.5%, Gorane 6.3%, Fitri-Batha 4.7%, other 6.4%, unknown 0.3% (1993 census) |
| Languages: | French (official), Arabic (official), Sara (in south), more than 120 different languages and dialects |
| Religions: | Muslim 53.1%, Catholic 20.1%, Protestant 14.2%, animist 7.3%, other 0.5%, unknown 1.7%, atheist 3.1% (1993 census) |
| Population: | 10,758,945 (July 2011 est.) |
| Age structure: | 0-14 years: 46% (male 2,510,656/female 2,441,780) |
| Age structure: | 15-64 years: 51% (male 2,531,896/female 2,960,406) |
| Age structure: | 65 years and over: 2.9% (male 131,805/female 182,402) (2011 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 15.6 years |
| Median age: | female: 17.9 years (2011 est.) |
| Population growth rate: | 2.009% (2011 est.) |
| Birth rate: | 39.4 births/1,000 population (2011 est.) |
| Death rate: | 15.47 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -3.84 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 28% of total population (2010) |
| Urbanization: | rate of urbanization: 4.6% annual rate of change (2010-15 est.) |
| Major cities - population: | N'DJAMENA (capital) 808,000 (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 1.03 male(s)/female |
| Sex ratio: | 15-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2011 est.) |
| Maternal mortality rate: | 1,200 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 95.31 deaths/1,000 live births |
| Infant mortality rate: | male: 101.18 deaths/1,000 live births |
| Infant mortality rate: | female: 89.22 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 48.33 years |
| Life expectancy at birth: | male: 47.28 years |
| Life expectancy at birth: | female: 49.43 years (2011 est.) |
| Total fertility rate: | 5.05 children born/woman (2011 est.) |
| Health expenditures: | 7% of GDP (2009) |
| Physicians density: | 0.04 physicians/1,000 population (2004) |
| Hospital bed density: | 0.43 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 67% of population |
| Drinking water source: | rural: 44% of population |
| Drinking water source: | total: 50% of population |
| unimproved: | urban: 33% of population |
| unimproved: | rural: 56% of population |
| unimproved: | total: 50% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 23% of population |
| Sanitation facility access: | rural: 4% of population |
| Sanitation facility access: | total: 9% of population |
| unimproved: | urban: 77% of population |
| unimproved: | rural: 96% of population |
| unimproved: | total: 91% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 3.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 210,000 (2009 est.) |
| HIV/AIDS - deaths: | 11,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 33.9% (2004) |
| Education expenditures: | 3.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write French or Arabic |
| Literacy: | total population: 25.7% |
| Literacy: | male: 40.8% |
| Literacy: | female: 12.8% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2009) |
