| People | Chad |
| --- | --- |
| Population: | 9,826,419 (July 2005 est.) |
| Age structure: | 0-14 years: 47.9% (male 2,365,277/female 2,337,388) |
| Age structure: | 15-64 years: 49.4% (male 2,323,110/female 2,528,086) |
| Age structure: | 65 years and over: 2.8% (male 109,535/female 163,023) (2005 est.) |
| Median age: | total: 16.02 years |
| Median age: | male: 15.32 years |
| Median age: | female: 16.71 years (2005 est.) |
| Population growth rate: | 2.95% (2005 est.) |
| Birth rate: | 45.98 births/1,000 population (2005 est.) |
| Death rate: | 16.41 deaths/1,000 population (2005 est.) |
| Net migration rate: | -0.11 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 93.82 deaths/1,000 live births |
| Infant mortality rate: | male: 103.03 deaths/1,000 live births |
| Infant mortality rate: | female: 84.24 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 47.18 years |
| Life expectancy at birth: | male: 45.55 years |
| Life expectancy at birth: | female: 48.87 years (2005 est.) |
| Total fertility rate: | 6.32 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 4.8% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 200,000 (2003 est.) |
| HIV/AIDS - deaths: | 18,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2004) |
| Nationality: | noun: Chadian(s) |
| Nationality: | adjective: Chadian |
| Ethnic groups: | 200 distinct groups; in the north and center: Arabs, Gorane (Toubou, Daza, Kreda), Zaghawa, Kanembou, Ouaddai, Baguirmi, Hadjerai, Fulbe, Kotoko, Hausa, Boulala, and Maba, most of whom are Muslim; in the south: Sara (Ngambaye, Mbaye, Goulaye), Moundang, Moussei, Massa, most of whom are Christian or animist; about 1,000 French citizens live in Chad |
| Religions: | Muslim 51%, Christian 35%, animist 7%, other 7% |
| Languages: | French (official), Arabic (official), Sara (in south), more than 120 different languages and dialects |
| Literacy: | definition: age 15 and over can read and write French or Arabic |
| Literacy: | total population: 47.5% |
| Literacy: | male: 56% |
| Literacy: | female: 39.3% (2003 est.) |
