| People and Society | BELIZE |
| --- | --- |
| Nationality: | noun: Belizean(s) |
| Nationality: | adjective: Belizean |
| Ethnic groups: | mestizo 52.9%, Creole 25.9%, Maya 11.3%, Garifuna 6.1%, East Indian 3.9%, Mennonite 3.6%, white 1.2%, Asian 1%, other 1.2%, unknown 0.3% |
| Ethnic groups: | note: percentages add up to more than 100% because respondents were able to identify more than one ethnic origin (2010 est.) |
| Languages: | English 62.9% (official), Spanish 56.6%, Creole 44.6%, Maya 10.5%, German 3.2%, Garifuna 2.9%, other 1.8%, unknown 0.3%, none 0.2% (cannot speak) |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2010 est.) |
| Religions: | Roman Catholic 40.1%, Protestant 31.5% (includes Pentecostal 8.4%, Seventh Day Adventist 5.4%, Anglican 4.7%, Mennonite 3.7%, Baptist 3.6%, Methodist 2.9%, Nazarene 2.8%), Jehovah's Witness 1.7%, other 10.5% (includes Baha'i, Buddhist, Hindu, Morman, Muslim, Rastafarian), unknown 0.6%, none 15.5% (2010 est.) |
| Demographic profile: | Migration continues to transform Belize's population. About 16% of Belizeans live abroad, while immigrants constitute approximately 15% of Belize's population. Belizeans seeking job and educational opportunities have preferred to emigrate to the United States rather than former colonizer Great Britain because of the United States' closer proximity and stronger trade ties with Belize. Belizeans also emigrate to Canada, Mexico, and English-speaking Caribbean countries. The emigration of a large share of Creoles (Afro-Belizeans) and the influx of Central American immigrants, mainly Guatemalans, Salvadorans, and Hondurans, has changed Belize's ethnic composition. Mestizos have become the largest ethnic group, and Belize now has more native Spanish speakers than English or Creole speakers, despite English being the official language. In addition, Central American immigrants are establishing new communities in rural areas, which contrasts with the urbanization trend seen in neighboring countries. Recently, Chinese, European, and North American immigrants have become more frequent. |
| Demographic profile: | Immigration accounts for an increasing share of Belize's population growth rate, which is steadily falling due to fertility decline. Belize's declining birth rate and its increased life expectancy are creating an aging population. As the elderly population grows and nuclear families replace extended households, Belize's government will be challenged to balance a rising demand for pensions, social services, and healthcare for its senior citizens with the need to reduce poverty and social inequality and to improve sanitation. |
| Population: | 347,369 (July 2015 est.) |
| Age structure: | 0-14 years: 34.87% (male 61,822/female 59,312) |
| Age structure: | 15-24 years: 20.86% (male 36,897/female 35,547) |
| Age structure: | 25-54 years: 35.88% (male 63,048/female 61,587) |
| Age structure: | 55-64 years: 4.69% (male 8,072/female 8,224) |
| Age structure: | 65 years and over: 3.7% (male 6,056/female 6,804) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 56.8% |
| population pyramid: | youth dependency ratio: 50.9% |
| population pyramid: | elderly dependency ratio: 5.9% |
| population pyramid: | potential support ratio: 17% (2015 est.) |
| Median age: | total: 22.1 years |
| Median age: | male: 21.9 years |
| Median age: | female: 22.3 years (2015 est.) |
| Population growth rate: | 1.87% (2015 est.) |
| Birth rate: | 24.68 births/1,000 population (2015 est.) |
| Death rate: | 5.97 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 44% of total population (2015) |
| Urbanization: | rate of urbanization: 1.93% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BELMOPAN (capital) 17,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
