| People and Society | Belize |
| --- | --- |
| Population: | 399,598 (July 2020 est.) |
| Nationality: | noun: Belizean(s) |
| Nationality: | adjective: Belizean |
| Ethnic groups: | mestizo 52.9%, Creole 25.9%, Maya 11.3%, Garifuna 6.1%, East Indian 3.9%, Mennonite 3.6%, White 1.2%, Asian 1%, other 1.2%, unknown 0.3% (2010 est.) |
| Ethnic groups: | note: percentages add up to more than 100% because respondents were able to identify more than one ethnic origin |
| Languages: | English 62.9% (official), Spanish 56.6%, Creole 44.6%, Maya 10.5%, German 3.2%, Garifuna 2.9%, other 1.8%, unknown 0.3%, none 0.2% (cannot speak) (2010 est.) |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census |
| Religions: | Roman Catholic 40.1%, Protestant 31.5% (includes Pentecostal 8.4%, Seventh Day Adventist 5.4%, Anglican 4.7%, Mennonite 3.7%, Baptist 3.6%, Methodist 2.9%, Nazarene 2.8%), Jehovah's Witness 1.7%, other 10.5% (includes Baha'i, Buddhist, Hindu, Mormon, Muslim, Rastafarian, Salvation Army), unspecified 0.6%, none 15.5% (2010 est.) |
| Demographic profile: | Migration continues to transform Belize's population. About 16% of Belizeans live abroad, while immigrants constitute approximately 15% of Belize's population. Belizeans seeking job and educational opportunities have preferred to emigrate to the United States rather than former colonizer Great Britain because of the United States' closer proximity and stronger trade ties with Belize. Belizeans also emigrate to Canada, Mexico, and English-speaking Caribbean countries. The emigration of a large share of Creoles (Afro-Belizeans) and the influx of Central American immigrants, mainly Guatemalans, Salvadorans, and Hondurans, has changed Belize's ethnic composition. Mestizos have become the largest ethnic group, and Belize now has more native Spanish speakers than English or Creole speakers, despite English being the official language. In addition, Central American immigrants are establishing new communities in rural areas, which contrasts with the urbanization trend seen in neighboring countries. Recently, Chinese, European, and North American immigrants have become more frequent. |
| Demographic profile: | Immigration accounts for an increasing share of Belize's population growth rate, which is steadily falling due to fertility decline. Belize's declining birth rate and its increased life expectancy are creating an aging population. As the elderly population grows and nuclear families replace extended households, Belize's government will be challenged to balance a rising demand for pensions, social services, and healthcare for its senior citizens with the need to reduce poverty and social inequality and to improve sanitation. |
| Age structure: | 0-14 years: 32.57% (male 66,454/female 63,700) |
| Age structure: | 15-24 years: 19% (male 39,238/female 36,683) |
| Age structure: | 25-54 years: 37.72% (male 73,440/female 77,300) |
| Age structure: | 55-64 years: 6.18% (male 12,235/female 12,444) |
| Age structure: | 65 years and over: 4.53% (male 8,781/female 9,323) (2020 est.) |
| Dependency ratios: | total dependency ratio: 52 |
| Dependency ratios: | youth dependency ratio: 44.4 |
| Dependency ratios: | elderly dependency ratio: 7.6 |
| Dependency ratios: | potential support ratio: 13.1 (2020 est.) |
| Median age: | total: 23.9 years |
| Median age: | male: 23 years |
| Median age: | female: 24.8 years (2020 est.) |
| Population growth rate: | 1.72% (2020 est.) |
| Birth rate: | 22 births/1,000 population (2020 est.) |
| Death rate: | 4.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | approximately 25% to 30% of the population lives in the former capital, Belize City; over half of the overall population is rural; population density is slightly higher in the north and east |
| Urbanization: | urban population: 46% of total population (2020) |
| Urbanization: | rate of urbanization: 2.32% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 23,000 BELMOPAN (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.94 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Maternal mortality rate: | 36 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.2 deaths/1,000 live births |
| Infant mortality rate: | male: 12.4 deaths/1,000 live births |
| Infant mortality rate: | female: 10 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 75.3 years |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 77 years (2020 est.) |
| Total fertility rate: | 2.7 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 51.4% (2015/16) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 98.6% of population |
| Drinking water source: | total: 99.2% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 1.4% of population |
| Drinking water source: | total: 0.8% of population (2017 est.) |
| Current Health Expenditure: | 5.6% (2017) |
| Physicians density: | 1.12 physicians/1,000 population (2017) |
| Hospital bed density: | 1 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.8% of population |
| Sanitation facility access: | rural: 95.3% of population |
| Sanitation facility access: | total: 96.9% of population |
| Sanitation facility access: | unimproved: urban: 1.2% of population |
| Sanitation facility access: | rural: 4.7% of population |
| Sanitation facility access: | total: 3.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,900 (2018 est.) |
