| People and Society | BELIZE |
| --- | --- |
| Population: | 360,346 (July 2017 est.) |
| Nationality: | noun: Belizean(s) |
| Nationality: | adjective: Belizean |
| Ethnic groups: | mestizo 52.9%, Creole 25.9%, Maya 11.3%, Garifuna 6.1%, East Indian 3.9%, Mennonite 3.6%, white 1.2%, Asian 1%, other 1.2%, unknown 0.3% |
| Ethnic groups: | note: percentages add up to more than 100% because respondents were able to identify more than one ethnic origin (2010 est.) |
| Languages: | English 62.9% (official), Spanish 56.6%, Creole 44.6%, Maya 10.5%, German 3.2%, Garifuna 2.9%, other 1.8%, unknown 0.3%, none 0.2% (cannot speak) |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2010 est.) |
| Religions: | Roman Catholic 40.1%, Protestant 31.5% (includes Pentecostal 8.4%, Seventh Day Adventist 5.4%, Anglican 4.7%, Mennonite 3.7%, Baptist 3.6%, Methodist 2.9%, Nazarene 2.8%), Jehovah's Witness 1.7%, other 10.5% (includes Baha'i, Buddhist, Hindu, Mormon, Muslim, Rastafarian, Salvation Army), unspecified 0.6%, none 15.5% (2010 est.) |
| Demographic profile: | Migration continues to transform Belize's population. About 16% of Belizeans live abroad, while immigrants constitute approximately 15% of Belize's population. Belizeans seeking job and educational opportunities have preferred to emigrate to the United States rather than former colonizer Great Britain because of the United States' closer proximity and stronger trade ties with Belize. Belizeans also emigrate to Canada, Mexico, and English-speaking Caribbean countries. The emigration of a large share of Creoles (Afro-Belizeans) and the influx of Central American immigrants, mainly Guatemalans, Salvadorans, and Hondurans, has changed Belize's ethnic composition. Mestizos have become the largest ethnic group, and Belize now has more native Spanish speakers than English or Creole speakers, despite English being the official language. In addition, Central American immigrants are establishing new communities in rural areas, which contrasts with the urbanization trend seen in neighboring countries. Recently, Chinese, European, and North American immigrants have become more frequent. |
| Demographic profile: | Immigration accounts for an increasing share of Belize's population growth rate, which is steadily falling due to fertility decline. Belize's declining birth rate and its increased life expectancy are creating an aging population. As the elderly population grows and nuclear families replace extended households, Belize's government will be challenged to balance a rising demand for pensions, social services, and healthcare for its senior citizens with the need to reduce poverty and social inequality and to improve sanitation. |
| Age structure: | 0-14 years: 33.95% (male 62,454/female 59,896) |
| Age structure: | 15-24 years: 20.55% (male 37,730/female 36,339) |
| Age structure: | 25-54 years: 36.62% (male 66,880/female 65,082) |
| Age structure: | 55-64 years: 4.99% (male 8,834/female 9,130) |
| Age structure: | 65 years and over: 3.89% (male 6,562/female 7,439) (2017 est.) |
| Dependency ratios: | total dependency ratio: 56.8 |
| Dependency ratios: | youth dependency ratio: 50.9 |
| Dependency ratios: | elderly dependency ratio: 5.9 |
| Dependency ratios: | potential support ratio: 17 (2015 est.) |
| Median age: | total: 22.7 years |
| Median age: | male: 22.5 years |
| Median age: | female: 22.9 years (2017 est.) |
| Population growth rate: | 1.8% (2017 est.) |
| Birth rate: | 24 births/1,000 population (2017 est.) |
| Death rate: | 6 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | approximately 25% to 30% of the population lives in the former capital, Belize City; over half of the overall population is rural; population density is slightly higher in the north and east |
| Urbanization: | urban population: 43.7% of total population (2017) |
| Urbanization: | rate of urbanization: 1.93% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BELMOPAN (capital) 17,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 28 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 18.9 deaths/1,000 live births |
| Infant mortality rate: | male: 21.3 deaths/1,000 live births |
| Infant mortality rate: | female: 16.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 68.9 years |
| Life expectancy at birth: | male: 67.3 years |
| Life expectancy at birth: | female: 70.6 years (2017 est.) |
| Total fertility rate: | 2.85 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 51.4% (2015) |
| Health expenditures: | 5.8% of GDP (2014) |
| Physicians density: | 0.77 physicians/1,000 population (2009) |
| Hospital bed density: | 1.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.9% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 1.1% of population |
