| People and Society | LITHUANIA |
| --- | --- |
| Population: | 2,854,235 (July 2016 est.) |
| Nationality: | noun: Lithuanian(s) |
| Nationality: | adjective: Lithuanian |
| Ethnic groups: | Lithuanian 84.1%, Polish 6.6%, Russian 5.8%, Belarusian 1.2%, other 1.1%, unspecified 1.2% (2011 est.) |
| Languages: | Lithuanian (official) 82%, Russian 8%, Polish 5.6%, other 0.9%, unspecified 3.5% (2011 est.) |
| Religions: | Roman Catholic 77.2%, Russian Orthodox 4.1%, Old Believer 0.8%, Evangelical Lutheran 0.6%, Evangelical Reformist 0.2%, other (including Sunni Muslim, Jewish, Greek Catholic, and Karaite) 0.8%, none 6.1%, unspecified 10.1% (2011 est.) |
| Age structure: | 0-14 years: 14.93% (male 218,453/female 207,643) |
| Age structure: | 15-24 years: 11.55% (male 170,494/female 159,283) |
| Age structure: | 25-54 years: 40.36% (male 566,159/female 585,862) |
| Age structure: | 55-64 years: 13.73% (male 172,987/female 218,955) |
| Age structure: | 65 years and over: 19.42% (male 187,340/female 367,059) (2016 est.) |
| Dependency ratios: | total dependency ratio: 50.1% |
| Dependency ratios: | youth dependency ratio: 21.8% |
| Dependency ratios: | elderly dependency ratio: 28.3% |
| Dependency ratios: | potential support ratio: 3.5% (2015 est.) |
| Median age: | total: 43.4 years |
| Median age: | male: 39.5 years |
| Median age: | female: 46.7 years (2016 est.) |
| Population growth rate: | -1.06% (2016 est.) |
| Birth rate: | 10 births/1,000 population (2016 est.) |
| Death rate: | 14.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | -6.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | fairly even population distribution throughout the country, but somewhat greater concentrations in the southern cities of Vilnius and Kaunas, and the western port of Klaipeda |
| Urbanization: | urban population: 66.5% of total population (2015) |
| Urbanization: | rate of urbanization: -0.53% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VILNIUS (capital) 517,000 (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.51 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.8 (2013 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.8 deaths/1,000 live births |
| Infant mortality rate: | male: 4.3 deaths/1,000 live births |
| Infant mortality rate: | female: 3.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 74.9 years |
| Life expectancy at birth: | male: 69.5 years |
| Life expectancy at birth: | female: 80.6 years (2016 est.) |
| Total fertility rate: | 1.59 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 62.9% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2006) |
| Health expenditures: | 6.6% of GDP (2014) |
| Physicians density: | 4.12 physicians/1,000 population (2012) |
| Hospital bed density: | 7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 90.4% of population |
| Drinking water source: | total: 96.6% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 9.6% of population |
| unimproved: | total: 3.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.2% of population |
| Sanitation facility access: | rural: 82.8% of population |
| Sanitation facility access: | total: 92.4% of population |
| unimproved: | urban: 2.8% of population |
| unimproved: | rural: 17.2% of population |
| unimproved: | total: 7.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis (2016) |
| Obesity - adult prevalence rate: | 27.5% (2014) |
| Education expenditures: | 4.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2014) |
| Unemployment, youth ages 15-24: | total: 19.3% |
| Unemployment, youth ages 15-24: | male: 19.6% |
| Unemployment, youth ages 15-24: | female: 18.7% (2014 est.) |
