| People and Society | MACEDONIA |
| --- | --- |
| Population: | 2,103,721 (July 2017 est.) |
| Nationality: | noun: Macedonian(s) |
| Nationality: | adjective: Macedonian |
| Ethnic groups: | Macedonian 64.2%, Albanian 25.2%, Turkish 3.9%, Romani 2.7%, Serb 1.8%, other 2.2% (2002 est.) |
| Ethnic groups: | note: Romani populations are usually underestimated in official statistics and may represent 6.5–13% of Macedonia’s population |
| Languages: | Macedonian (official) 66.5%, Albanian 25.1%, Turkish 3.5%, Romani 1.9%, Serbian 1.2%, other 1.8% (2002 est.) |
| Languages: | note: minority languages are co-official with Macedonian in municipalities where they are spoken by at least 20% of the population; Albanian is co-official in Tetovo, Brvenica, Vrapciste, and other municipalities; Turkish is co-official in Centar Zupa and Plasnica; Romani is co-official in Suto Orizari; Aromanian is co-official in Drusevo; Serbian is co-official in Cucer Sandevo |
| Religions: | Macedonian Orthodox 64.8%, Muslim 33.3%, other Christian 0.4%, other and unspecified 1.5% (2002 est.) |
| Age structure: | 0-14 years: 17.17% (male 187,063/female 174,196) |
| Age structure: | 15-24 years: 13.41% (male 145,716/female 136,444) |
| Age structure: | 25-54 years: 43.6% (male 465,862/female 451,321) |
| Age structure: | 55-64 years: 12.41% (male 128,024/female 132,955) |
| Age structure: | 65 years and over: 13.41% (male 121,019/female 161,121) (2017 est.) |
| Dependency ratios: | total dependency ratio: 41.6 |
| Dependency ratios: | youth dependency ratio: 23.8 |
| Dependency ratios: | elderly dependency ratio: 17.7 |
| Dependency ratios: | potential support ratio: 5.6 (2015 est.) |
| Median age: | total: 37.9 years |
| Median age: | male: 36.8 years |
| Median age: | female: 39 years (2017 est.) |
| Population growth rate: | 0.17% (2017 est.) |
| Birth rate: | 11.4 births/1,000 population (2017 est.) |
| Death rate: | 9.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 57.3% of total population (2017) |
| Urbanization: | rate of urbanization: 0.24% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SKOPJE (capital) 503,000 (2015) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.8 years (2014 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 7.4 deaths/1,000 live births |
| Infant mortality rate: | male: 7.6 deaths/1,000 live births |
| Infant mortality rate: | female: 7.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 76.4 years |
| Life expectancy at birth: | male: 73.8 years |
| Life expectancy at birth: | female: 79.2 years (2017 est.) |
| Total fertility rate: | 1.6 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 40.2% (2011) |
| Health expenditures: | 6.5% of GDP (2014) |
| Physicians density: | 2.8 physicians/1,000 population (2013) |
| Hospital bed density: | 4.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.8% of population |
| Drinking water source: | rural: 98.9% of population |
| Drinking water source: | total: 99.4% of population |
| unimproved: | urban: 0.2% of population |
| unimproved: | rural: 1.1% of population |
| unimproved: | total: 0.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.2% of population |
| Sanitation facility access: | rural: 82.6% of population |
| Sanitation facility access: | total: 90.9% of population |
| unimproved: | urban: 2.8% of population |
| unimproved: | rural: 17.4% of population |
| unimproved: | total: 9.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 22.4% (2016) |
| Children under the age of 5 years underweight: | 1.3% (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 98.8% |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2014) |
| Unemployment, youth ages 15-24: | total: 47.3% |
| Unemployment, youth ages 15-24: | male: 49.7% |
| Unemployment, youth ages 15-24: | female: 43.3% (2014 est.) |
